ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 14.928, Wheel, 20.0, 0.00, 0, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 14.951, Wheel, 20.0, 0.00, 0, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 14.984, Wheel, 20.0, 0.00, 0, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 41.383, Wheel, -163.0, 1.00, 2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 41.416, Wheel, -161.0, 0.98, 2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 41.450, Wheel, -157.2, 0.96, 1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 41.488, Wheel, -151.7, 0.93, 1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 42.024, Wheel, -94.4, 0.62, 1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 42.052, Wheel, -91.3, 0.60, 1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 42.074, Wheel, -91.3, 0.60, 1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 42.088, Wheel, -84.4, 0.57, 1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 42.112, Wheel, -76.3, 0.52, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 42.156, Wheel, -67.0, 0.47, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 46.344, Wheel, 20.0, 0.00, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 46.391, Wheel, 14.5, 0.02, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 46.423, Wheel, 11.1, 0.04, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 46.464, Wheel, 6.0, 0.07, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 46.487, Wheel, -0.5, 0.11, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 46.968, Wheel, -63.6, 0.45, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 47.000, Wheel, -67.2, 0.47, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 47.032, Wheel, -72.5, 0.50, 0-1-2, 0
nszw26001_05RmcjYHeo,2026-01-27_20-04-36,2026-01-27_20-10-48,ItoE_noname, 47.057, Wheel, -79.3, 0.54, 0-1-2, 0
