ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 14.415, Wheel, 20.0, 0.00, 0, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 20.569, Wheel, -161.8, 0.99, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 20.586, Wheel, -161.9, 0.99, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 20.602, Wheel, -162.0, 0.99, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 20.619, Wheel, -162.1, 0.99, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 20.636, Wheel, -162.2, 0.99, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 20.652, Wheel, -162.3, 0.99, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 20.669, Wheel, -162.3, 0.99, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 20.686, Wheel, -162.4, 0.99, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 22.137, Wheel, -163.0, 1.00, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 22.154, Wheel, -163.0, 1.00, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 22.187, Wheel, -163.0, 1.00, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.188, Wheel, -163.0, 1.00, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.205, Wheel, -161.0, 0.98, 2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.221, Wheel, -157.2, 0.96, 1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.238, Wheel, -151.7, 0.93, 1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.255, Wheel, -144.9, 0.90, 1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.288, Wheel, -129.3, 0.81, 1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.305, Wheel, -120.7, 0.76, 1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.338, Wheel, -102.1, 0.66, 1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.622, Wheel, -19.5, 0.21, 0-1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.638, Wheel, -15.8, 0.19, 0-1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.655, Wheel, -12.2, 0.17, 0-1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 23.688, Wheel, -6.1, 0.14, 0-1-2, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 26.491, Wheel, -288.8, 0.97, 2-3, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 26.507, Wheel, -289.5, 0.97, 2-3, 0
nszw26001_0rituDSLNH,2026-01-27_20-07-11,2026-01-27_20-10-11,ItoE_noname, 26.524, Wheel, -290.2, 0.98, 2-3, 0
