ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 0.725, Wheel, 20.0, 0.00, None, 0
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 0.757, Wheel, 20.0, 0.00, None, 0
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 120.739, Wheel, -1463.0, 1.00, 7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 120.769, Wheel, -1459.2, 0.99, 7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 120.822, Wheel, -1449.3, 0.99, 7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 153.832, Wheel, -1403.0, 0.95, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 153.867, Wheel, -1399.2, 0.95, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 153.900, Wheel, -1392.3, 0.95, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 153.967, Wheel, -1375.3, 0.94, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 154.370, Wheel, -1327.6, 0.90, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 154.403, Wheel, -1322.9, 0.90, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 154.420, Wheel, -1318.9, 0.90, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 154.470, Wheel, -1303.7, 0.89, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 155.604, Wheel, -1243.0, 0.85, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 155.637, Wheel, -1239.2, 0.84, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 155.654, Wheel, -1235.5, 0.84, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 155.689, Wheel, -1225.5, 0.83, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.024, Wheel, -1170.6, 0.80, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.037, Wheel, -1167.8, 0.80, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.055, Wheel, -1163.3, 0.79, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.115, Wheel, -1147.0, 0.78, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.423, Wheel, -1092.6, 0.75, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.439, Wheel, -1089.6, 0.74, 6-7-8, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.456, Wheel, -1084.9, 0.74, 6-7, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.490, Wheel, -1073.2, 0.73, 6-7, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.807, Wheel, -1012.4, 0.69, 5-6-7, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.823, Wheel, -1009.5, 0.69, 5-6, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.858, Wheel, -1000.6, 0.68, 5-6, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.877, Wheel, -994.9, 0.68, 5-6, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 156.910, Wheel, -981.2, 0.67, 5-6, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 157.277, Wheel, -910.7, 0.62, 4-5-6, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 157.294, Wheel, -907.9, 0.62, 4-5-6, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 157.311, Wheel, -903.4, 0.62, 4-5-6, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 157.344, Wheel, -891.9, 0.61, 4-5-6, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 157.726, Wheel, -829.7, 0.57, 4-5-6, 1
nszw26001_1cvvytE5YL,2026-01-27_23-44-02,2026-01-27_23-51-52,ItoE_noname, 157.742, Wheel, -827.1, 0.57, 4-5-6, 1
