ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 1.793, Wheel, 20.0, 0.00, None, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 1.842, Wheel, 20.0, 0.00, None, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 16.675, Wheel, 20.0, 0.00, 0, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 16.741, Wheel, 20.0, 0.00, 0, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 28.023, Wheel, -207.0, 1.00, 2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 28.057, Wheel, -203.2, 0.98, 2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 28.073, Wheel, -199.5, 0.96, 1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 28.107, Wheel, -189.5, 0.92, 1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 28.740, Wheel, -128.1, 0.65, 1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 28.773, Wheel, -124.1, 0.63, 1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 28.808, Wheel, -117.0, 0.60, 1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 28.857, Wheel, -103.5, 0.54, 1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 29.440, Wheel, -48.4, 0.30, 0-1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 29.457, Wheel, -46.2, 0.29, 0-1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 29.475, Wheel, -42.3, 0.27, 0-1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 29.507, Wheel, -31.8, 0.22, 0-1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 29.557, Wheel, -17.7, 0.16, 0-1-2, 0
nszw26001_1tsXEUeACp,2026-01-27_20-02-42,2026-01-27_20-13-43,ItoE_name, 30.041, Wheel, 18.2, 0.00, 0-1-2, 0
