ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 8.053, Wheel, 20.0, 0.00, 0, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 8.617, Wheel, 20.0, 0.00, 0, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 18.775, Wheel, 20.0, 0.00, 0, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 43.669, Wheel, -185.0, 1.00, 2, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 51.111, Wheel, -165.0, 0.90, 1-2, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 51.244, Wheel, -153.6, 0.84, 1-2, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 61.101, Wheel, -125.0, 0.70, 1-2, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 61.401, Wheel, -108.0, 0.62, 1-2, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 61.850, Wheel, -86.3, 0.51, 0-1-2, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 66.463, Wheel, -65.0, 0.41, 0-1-2, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 78.003, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 78.069, Wheel, -604.1, 0.98, 3-4, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 78.668, Wheel, -571.7, 0.93, 3-4, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 78.901, Wheel, -555.7, 0.91, 2-3-4, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 79.634, Wheel, -531.2, 0.87, 2-3-4, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 79.751, Wheel, -520.6, 0.85, 2-3-4, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 80.283, Wheel, -492.0, 0.81, 2-3-4, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 80.350, Wheel, -484.7, 0.79, 2-3-4, 0
nszw26001_2AiztqcWP0,2026-01-27_23-23-04,2026-01-27_23-31-24,ItoE_name, 80.933, Wheel, -451.8, 0.74, 2-3-4, 0
