ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.473, Wheel, -207.0, 1.00, 2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.487, Wheel, -205.0, 0.99, 2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.504, Wheel, -201.2, 0.97, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.522, Wheel, -195.7, 0.95, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.538, Wheel, -188.9, 0.92, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.554, Wheel, -180.7, 0.88, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.571, Wheel, -171.3, 0.84, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.587, Wheel, -160.9, 0.79, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.604, Wheel, -149.5, 0.74, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.620, Wheel, -137.2, 0.69, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.639, Wheel, -124.2, 0.63, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.655, Wheel, -110.5, 0.57, 1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 16.670, Wheel, -97.4, 0.51, 0-1-2, 0
nszw26001_2hoooqlADY,2026-01-27_20-08-43,2026-01-27_20-18-00,ItoE_name, 18.222, Wheel, 20.0, 0.00, 0-1-2, 0
