ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 32.509, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 32.625, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 32.825, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 41.125, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 41.158, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 41.208, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 49.424, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 49.474, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 49.591, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 50.274, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 50.324, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 50.391, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 50.491, Wheel, 20.0, 0.00, 0, 0
nszw26001_497kTMXnkG,2026-01-27_23-06-50,2026-01-27_23-17-50,ItoE_noname, 62.023, Wheel, 20.0, 0.00, 0-1, 0
