ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 0.096, Wheel, 20.0, 0.00, None, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 0.100, Wheel, 20.0, 0.00, None, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 0.931, Wheel, 20.0, 0.00, None, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 0.997, Wheel, 20.0, 0.00, None, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 1.298, Wheel, 20.0, 0.00, None, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 1.330, Wheel, 20.0, 0.00, None, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 1.347, Wheel, 20.0, 0.00, None, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 4.112, Wheel, 20.0, 0.00, 0, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 4.129, Wheel, 20.0, 0.00, 0, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 4.145, Wheel, 20.0, 0.00, 0, 0
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 77.138, Wheel, -1485.0, 1.00, 7-8, 1
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 77.721, Wheel, -1485.0, 1.00, 7-8, 1
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 77.771, Wheel, -1485.0, 1.00, 7-8, 1
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 78.803, Wheel, -1485.0, 1.00, 7-8, 1
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 78.820, Wheel, -1483.0, 0.99, 7-8, 1
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 78.836, Wheel, -1479.2, 0.99, 7-8, 1
nszw26001_4STxkOcLo6,2026-01-27_23-07-46,2026-01-27_23-10-27,ItoE_name, 78.853, Wheel, -1473.7, 0.99, 7-8, 1
