ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 39.487, Wheel, -185.0, 1.00, 2, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 40.119, Wheel, -165.3, 0.90, 1-2, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 40.653, Wheel, -145.6, 0.80, 1-2, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 41.820, Wheel, -125.0, 0.70, 1-2, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 41.854, Wheel, -128.8, 0.72, 1-2, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 41.904, Wheel, -138.6, 0.77, 1-2, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 59.951, Drag, -513.3, 0.84, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 60.167, Drag, -418.6, 0.69, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 60.383, Drag, -328.5, 0.55, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 61.318, Drag, -319.5, 0.53, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 61.518, Drag, -247.4, 0.42, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 62.168, Drag, -197.8, 0.34, 2-3, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 62.368, Drag, -175.3, 0.30, 1-2-3, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 62.585, Drag, -152.7, 0.27, 1-2, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 63.869, Drag, -134.7, 0.24, 1-2, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 64.086, Drag, -152.7, 0.27, 1-2, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 64.286, Drag, -229.3, 0.39, 2-3, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 64.503, Drag, -351.0, 0.58, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 64.903, Drag, -423.2, 0.70, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 65.470, Drag, -256.4, 0.43, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 66.471, Drag, -202.3, 0.35, 2-3, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 66.739, Drag, -206.8, 0.35, 2-3, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 67.922, Drag, -351.0, 0.58, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 68.122, Drag, -391.6, 0.65, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 68.322, Drag, -486.3, 0.80, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 68.523, Drag, -517.8, 0.85, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 68.723, Drag, -540.3, 0.88, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 68.939, Drag, -558.4, 0.91, 2-3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 69.173, Drag, -594.4, 0.97, 3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 69.693, DragEnd, -611.0, 1.00, 3-4, 0
nszw26001_4b3h4M0IV5,2026-01-27_20-02-34,2026-01-27_20-13-40,ItoI_name, 132.950, Wheel, -633.0, 0.97, 3-4, 1
