ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 35.265, Wheel, -185.0, 1.00, 2, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 35.297, Wheel, -181.2, 0.98, 2, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 36.108, Wheel, -145.2, 0.80, 1-2, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 36.118, Wheel, -143.2, 0.79, 1-2, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 36.154, Wheel, -139.3, 0.77, 1-2, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 63.554, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 63.585, Wheel, -607.2, 0.99, 3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 63.670, Wheel, -592.3, 0.97, 3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 64.306, Wheel, -551.7, 0.90, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 64.355, Wheel, -546.1, 0.89, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 64.373, Wheel, -542.6, 0.89, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 64.422, Wheel, -528.6, 0.86, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 64.623, Wheel, -487.2, 0.80, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 65.092, Wheel, -452.8, 0.74, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 65.110, Wheel, -450.7, 0.74, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 65.127, Wheel, -446.7, 0.73, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 65.176, Wheel, -431.6, 0.71, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 65.579, Wheel, -375.8, 0.62, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 68.459, Wheel, -351.0, 0.58, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 68.544, Wheel, -359.1, 0.60, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 68.593, Wheel, -367.8, 0.61, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 68.661, Wheel, -382.6, 0.63, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 68.710, Wheel, -395.7, 0.65, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 69.213, Wheel, -448.3, 0.74, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 69.247, Wheel, -452.6, 0.74, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 69.296, Wheel, -463.0, 0.76, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 69.330, Wheel, -472.1, 0.77, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 69.380, Wheel, -488.1, 0.80, 2-3-4, 0
nszw26001_4uJTE4IFXc,2026-01-27_20-03-21,2026-01-27_20-13-25,ItoI_name, 69.431, Wheel, -505.1, 0.83, 2-3-4, 0
