ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 40.271, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 40.320, Wheel, -605.5, 0.99, 3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 40.586, Wheel, -577.4, 0.94, 3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 40.602, Wheel, -574.7, 0.94, 3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 40.620, Wheel, -570.3, 0.93, 3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 40.636, Wheel, -564.4, 0.92, 3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 40.653, Wheel, -557.1, 0.91, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 40.987, Wheel, -481.4, 0.79, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 41.005, Wheel, -478.4, 0.78, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 41.020, Wheel, -473.6, 0.78, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 41.037, Wheel, -467.4, 0.77, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 41.054, Wheel, -459.7, 0.76, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 43.006, Wheel, -371.0, 0.61, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 43.022, Wheel, -369.0, 0.61, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 43.056, Wheel, -369.3, 0.61, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 43.339, Wheel, -387.3, 0.64, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 43.373, Wheel, -391.8, 0.65, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 43.390, Wheel, -395.7, 0.65, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 43.407, Wheel, -401.3, 0.66, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 43.424, Wheel, -408.2, 0.67, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 44.591, Wheel, -491.0, 0.80, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 44.608, Wheel, -489.0, 0.80, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 44.642, Wheel, -481.7, 0.79, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 44.908, Wheel, -440.4, 0.72, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 44.942, Wheel, -434.8, 0.72, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 45.442, Wheel, -392.8, 0.65, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 45.459, Wheel, -390.6, 0.65, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 45.492, Wheel, -383.1, 0.63, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 45.543, Wheel, -369.0, 0.61, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.243, Wheel, -311.6, 0.52, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.527, Wheel, -327.7, 0.55, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.544, Wheel, -330.1, 0.55, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.561, Wheel, -334.1, 0.56, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.577, Wheel, -339.8, 0.57, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.594, Wheel, -346.9, 0.58, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.811, Wheel, -409.6, 0.68, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.878, Wheel, -423.8, 0.70, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.895, Wheel, -428.5, 0.71, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 46.928, Wheel, -440.4, 0.72, 2-3-4, 0
nszw26001_64EQKEClu9,2026-01-27_23-03-38,2026-01-27_23-10-40,ItoE_name, 47.145, Wheel, -493.0, 0.81, 2-3-4, 0
