ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 219.654, Drag, -113.0, 0.95, 1-2, 1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 219.866, Drag, -98.1, 0.85, 1-2, 1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 220.079, Drag, -83.5, 0.74, 1-2, 1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 220.279, Drag, -65.3, 0.61, 1-2, 1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 220.666, Drag, -60.0, 0.57, 1-2, 1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 220.866, Drag, -98.1, 0.85, 1-2, 1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 221.087, DragEnd, -119.0, 1.00, 1-2, 1
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 105.608, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 105.634, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 105.660, Wheel, -1551.0, 1.00, 7-8, 0
nszw26001_76mR4YoddN,2026-01-27_23-05-25,2026-01-27_23-21-03,ItoE_noname, 105.700, Wheel, -1551.0, 1.00, 7-8, 0
