ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 6.663, Wheel, 20.0, 0.00, 0, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 6.717, Wheel, 20.0, 0.00, 0, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 6.777, Wheel, 20.0, 0.00, 0, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 19.726, Wheel, 20.0, 0.00, 0, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 23.213, Wheel, 20.0, 0.00, 0, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 23.262, Wheel, 20.0, 0.00, 0, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 23.329, Wheel, 20.0, 0.00, 0, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 23.846, Wheel, 20.0, 0.00, 0, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 42.867, Wheel, -655.0, 1.00, 3-4, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 48.590, Wheel, -655.0, 0.97, 3-4, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 49.124, Wheel, -672.3, 0.99, 4, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 49.174, Wheel, -672.5, 0.99, 4, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 49.544, Wheel, -673.0, 1.00, 4, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 49.574, Wheel, -673.0, 1.00, 4, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 49.626, Wheel, -673.0, 1.00, 4, 0
nszw26001_7IkLKmveHx,2026-01-27_23-08-54,2026-01-27_23-14-23,ItoI_name, 55.931, Wheel, -1147.0, 1.00, 6, 0
