ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 35.656, Wheel, 20.0, 0.00, 0, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 35.688, Wheel, 20.0, 0.00, 0, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 36.938, Wheel, 20.0, 0.00, 0, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 38.338, Wheel, 20.0, 0.00, 0, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 38.355, Wheel, 20.0, 0.00, 0, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 66.457, Wheel, -185.0, 1.00, 2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 83.443, Drag, -50.2, 0.34, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 83.658, Drag, -48.3, 0.33, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 83.858, Drag, -38.5, 0.28, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 84.141, Drag, -28.3, 0.23, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 84.341, Drag, -17.0, 0.18, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 84.541, Drag, -15.6, 0.17, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 84.741, Drag, -8.3, 0.13, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 89.624, Drag, -9.7, 0.14, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 89.825, Drag, -20.0, 0.19, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 90.058, Drag, -27.3, 0.23, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 90.275, Drag, -33.6, 0.26, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 90.475, Drag, -41.5, 0.30, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 90.675, Drag, -51.2, 0.34, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 90.891, Drag, -59.0, 0.38, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 91.091, Drag, -67.8, 0.42, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 91.308, Drag, -79.0, 0.48, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 91.525, Drag, -87.3, 0.52, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 91.725, Drag, -98.1, 0.57, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 91.925, Drag, -102.0, 0.59, 1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 92.462, DragEnd, -104.4, 0.60, 1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 93.225, Wheel, -104.4, 0.60, 1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 93.725, Wheel, -123.6, 0.70, 1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 93.759, Wheel, -127.5, 0.71, 1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 94.192, Wheel, -162.0, 0.88, 1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 94.225, Wheel, -166.3, 0.90, 1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 94.592, Wheel, -183.1, 0.99, 2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 94.625, Wheel, -183.5, 0.99, 2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 95.092, Wheel, -185.0, 1.00, 2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 95.109, Wheel, -185.0, 1.00, 2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 95.125, Wheel, -185.0, 1.00, 2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 96.425, Drag, -63.4, 0.40, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 96.625, Drag, -78.5, 0.48, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 96.826, Drag, -84.4, 0.50, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 97.041, Drag, -90.3, 0.53, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 97.325, Drag, -97.1, 0.57, 0-1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 97.582, Drag, -103.0, 0.60, 1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 97.583, DragEnd, -103.0, 0.60, 1-2, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 127.344, Drag, -489.3, 0.80, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 127.545, Drag, -451.7, 0.74, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 127.761, Drag, -372.1, 0.62, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 130.994, Drag, -351.0, 0.58, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 131.195, Drag, -318.0, 0.53, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 131.428, Drag, -297.0, 0.50, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 132.744, Drag, -287.9, 0.48, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 133.211, Drag, -271.4, 0.46, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 133.444, Drag, -254.9, 0.43, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 137.294, Drag, -322.5, 0.54, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 137.495, Drag, -367.6, 0.61, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 137.695, Drag, -420.1, 0.69, 2-3-4, 0
nszw26001_7kTdVVyUKP,2026-01-27_20-02-37,2026-01-27_20-14-02,ItoE_name, 137.912, Drag, -469.7, 0.77, 2-3-4, 0
