ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 0.038, Wheel, 20.0, 0.00, None, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 0.362, Wheel, 20.0, 0.00, None, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 5.637, Wheel, 20.0, 0.00, 0, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 10.937, Wheel, 20.0, 0.00, 0, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 17.520, Wheel, -185.0, 1.00, 2, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 18.077, Wheel, -165.6, 0.90, 1-2, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 33.542, Wheel, -633.0, 1.00, 3-4, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 46.208, Wheel, -1125.0, 1.00, 6, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 57.557, Wheel, -1638.2, 0.99, 8, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 58.168, Wheel, -1619.4, 0.98, 7-8, 0
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 69.434, Wheel, 20.0, 0.00, None, 1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 69.535, Wheel, 20.0, 0.00, None, 1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 69.801, Wheel, 20.0, 0.00, None, 1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 70.768, Wheel, 20.0, 0.00, 0, 1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 70.851, Wheel, 20.0, 0.00, 0, 1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 83.901, Wheel, -207.0, 1.00, 2, 1
nszw26001_8HqKo3RRfp,2026-01-27_23-01-18,2026-01-27_23-09-39,ItoI_noname, 84.568, Wheel, -187.3, 0.91, 2, 1
