ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 60.120, Wheel, -163.0, 1.00, 2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 60.174, Wheel, -157.5, 0.97, 1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 60.277, Wheel, -141.3, 0.88, 1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 60.443, Wheel, -116.3, 0.74, 1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 60.519, Wheel, -102.7, 0.67, 1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 60.609, Wheel, -86.4, 0.58, 1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 61.067, Wheel, -45.2, 0.35, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 61.100, Wheel, -41.0, 0.33, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 61.139, Wheel, -33.8, 0.29, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 61.193, Wheel, -20.0, 0.21, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 61.240, Wheel, -9.1, 0.15, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 61.320, Wheel, 2.7, 0.09, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 63.714, Wheel, 20.0, 0.00, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 71.424, Wheel, 0.0, 0.10, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 71.463, Wheel, -3.8, 0.13, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 71.495, Wheel, -10.6, 0.16, 0-1-2, 0
nszw26001_8a6XDhs6zg,2026-01-27_20-02-30,2026-01-27_20-11-32,ItoE_noname, 71.519, Wheel, -20.0, 0.21, 0-1-2, 0
