ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 4.084, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 4.184, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 4.266, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 6.683, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 6.716, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 6.733, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 6.750, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 6.766, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 6.800, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 13.017, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 13.084, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 13.167, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 29.002, Wheel, -185.0, 1.00, 2, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 29.069, Wheel, -185.0, 1.00, 2, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 29.135, Wheel, -185.0, 1.00, 2, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 64.107, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 64.140, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 64.241, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 64.921, Wheel, -181.2, 0.98, 2, 1
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 64.988, Wheel, -182.5, 0.98, 2, 1
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 65.021, Wheel, -183.0, 0.99, 2, 1
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 65.088, Wheel, -183.6, 0.99, 2, 1
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 65.155, Wheel, -184.1, 0.99, 2, 1
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 3.767, Wheel, 20.0, 0.00, 0, 0
nszw26001_9NxZrHHT7v,2026-01-27_23-07-18,2026-01-27_23-11-46,ItoI_name, 3.833, Wheel, 20.0, 0.00, 0, 0
