ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.554, Wheel, -655.0, 1.00, 3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.606, Wheel, -653.0, 0.99, 3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.619, Wheel, -653.0, 0.99, 3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.633, Wheel, -647.2, 0.98, 3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.651, Wheel, -639.9, 0.97, 3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.680, Wheel, -631.4, 0.96, 3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.700, Wheel, -613.1, 0.93, 3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.717, Wheel, -603.3, 0.92, 3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.733, Wheel, -592.5, 0.90, 3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.750, Wheel, -580.7, 0.89, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.767, Wheel, -568.1, 0.87, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.784, Wheel, -554.8, 0.85, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.801, Wheel, -540.8, 0.83, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.817, Wheel, -526.2, 0.80, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.834, Wheel, -511.1, 0.78, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.850, Wheel, -495.5, 0.76, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.867, Wheel, -479.4, 0.73, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.884, Wheel, -463.0, 0.71, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.901, Wheel, -446.2, 0.69, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.917, Wheel, -429.1, 0.66, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.934, Wheel, -411.7, 0.63, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.951, Wheel, -394.0, 0.61, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.968, Wheel, -376.1, 0.58, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 62.985, Wheel, -358.0, 0.56, 2-3-4, 0
nszw26001_9ZIyTkfv7T,2026-01-27_23-40-20,2026-01-27_23-51-39,ItoE_name, 63.001, Wheel, -339.7, 0.53, 2-3-4, 0
