ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 60.113, Wheel, 20.0, 0.00, 0, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 60.146, Wheel, 20.0, 0.00, 0, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 60.179, Wheel, 20.0, 0.00, 0, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 60.295, Wheel, 20.0, 0.00, 0, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 60.712, Wheel, 20.0, 0.00, 0, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 60.745, Wheel, 20.0, 0.00, 0, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 60.778, Wheel, 20.0, 0.00, 0, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 60.828, Wheel, 20.0, 0.00, 0, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 77.080, Drag, -83.7, 0.56, 1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 77.294, Drag, -64.0, 0.45, 0-1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 77.495, Drag, -47.9, 0.37, 0-1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 77.703, Drag, -39.2, 0.32, 0-1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 77.703, DragEnd, -39.2, 0.32, 0-1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 80.061, Drag, -61.4, 0.44, 0-1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 80.277, Drag, -40.5, 0.33, 0-1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 80.477, Drag, -25.7, 0.25, 0-1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 80.677, Drag, -8.3, 0.15, 0-1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 80.877, Drag, 4.7, 0.08, 0-1-2, 0
nszw26001_ANpTGneQtP,2026-01-27_23-10-24,2026-01-27_23-26-19,ItoI_noname, 81.078, Drag, 8.6, 0.06, 0-1-2, 0
