ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 5.517, Wheel, 20.0, 0.00, 0, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 6.049, Wheel, 20.0, 0.00, 0, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 6.116, Wheel, 20.0, 0.00, 0, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 7.400, Wheel, 20.0, 0.00, 0, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 7.449, Wheel, 20.0, 0.00, 0, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 7.501, Wheel, 20.0, 0.00, 0, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 7.566, Wheel, 20.0, 0.00, 0, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 7.699, Wheel, 20.0, 0.00, 0, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 56.551, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 56.734, Wheel, -597.2, 0.97, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 56.767, Wheel, -599.8, 0.98, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 57.217, Wheel, -610.3, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 57.234, Wheel, -610.4, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 57.267, Wheel, -610.5, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 57.351, Wheel, -610.7, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 57.417, Wheel, -610.8, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 58.984, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 59.001, Wheel, -609.0, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 59.017, Wheel, -605.2, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 59.034, Wheel, -599.7, 0.98, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 59.100, Wheel, -576.1, 0.94, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 59.501, Wheel, -516.1, 0.84, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 59.602, Wheel, -504.3, 0.83, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 59.651, Wheel, -495.3, 0.81, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 72.785, Wheel, -451.0, 0.74, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 72.834, Wheel, -456.4, 0.75, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 72.868, Wheel, -462.9, 0.76, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 72.901, Wheel, -472.1, 0.77, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.301, Wheel, -526.3, 0.86, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.334, Wheel, -530.9, 0.87, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.351, Wheel, -534.9, 0.87, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.367, Wheel, -540.5, 0.88, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.384, Wheel, -547.6, 0.89, 2-3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.434, Wheel, -564.8, 0.92, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.801, Wheel, -606.4, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.818, Wheel, -606.9, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.834, Wheel, -607.3, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.851, Wheel, -607.6, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 73.868, Wheel, -608.0, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 74.134, Wheel, -610.4, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 74.184, Wheel, -610.5, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 74.201, Wheel, -610.6, 0.99, 3-4, 0
nszw26001_B35JiDRGup,2026-01-27_23-17-13,2026-01-27_23-24-11,ItoI_name, 121.702, Wheel, -1573.0, 1.00, 7-8, 0
