ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 22.615, Drag, -60.0, 0.35, 0-1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 22.830, Drag, -60.0, 0.35, 0-1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 22.992, DragEnd, -60.0, 0.35, 0-1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 23.582, Drag, -50.3, 0.30, 0-1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 23.802, Drag, -52.4, 0.31, 0-1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 24.205, Drag, -52.3, 0.31, 0-1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 24.407, Drag, -52.4, 0.31, 0-1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 24.677, Drag, -52.0, 0.31, 0-1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 24.679, DragEnd, -52.0, 0.31, 0-1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 42.183, Drag, -158.3, 0.26, 1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 42.409, Drag, -154.4, 0.25, 1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 42.800, Drag, -154.5, 0.25, 1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 43.275, DragEnd, -154.2, 0.25, 1-2, 0
nszw26001_BOohnLhhUb,2026-01-27_20-02-32,2026-01-27_20-08-05,ItoI_name, 2.038, DragEnd, 20.0, 0.00, 0, 0
