ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 5.551, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 5.918, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 5.951, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 6.234, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 6.268, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 6.301, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 6.351, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 6.668, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 6.701, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 32.002, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 32.035, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 32.052, Wheel, 20.0, 0.00, 0, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 36.185, Wheel, -162.5, 0.99, 2, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 36.252, Wheel, -155.8, 0.96, 1-2, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 36.552, Wheel, -127.9, 0.80, 1-2, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 36.569, Wheel, -125.4, 0.79, 1-2, 0
nszw26001_BurOikem1i,2026-01-27_20-03-13,2026-01-27_20-12-19,ItoI_noname, 36.585, Wheel, -121.1, 0.77, 1-2, 0
