ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 147.673, Drag, -1664.3, 0.94, 7-8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 147.881, Drag, -1182.5, 0.67, 5-6, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 148.081, Drag, -632.4, 0.36, 3-4, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 148.285, Drag, -457.5, 0.26, 2-3-4, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 148.498, Drag, -261.4, 0.15, 2-3, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 148.698, Drag, -159.1, 0.10, 1-2, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 148.898, Drag, -120.7, 0.07, 1-2, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 149.098, Drag, -61.0, 0.04, 0-1-2, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 149.515, Drag, -22.6, 0.02, 0-1-2, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 149.915, Drag, 11.4, 0.00, 0-1-2, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 150.115, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 150.481, Drag, 20.0, 0.00, 0-1-2, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 150.698, Drag, -133.5, 0.08, 1-2, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 150.898, Drag, -188.9, 0.11, 1-2, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 151.581, Drag, -206.0, 0.12, 2-3, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 151.781, Drag, -231.5, 0.14, 2-3, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 152.048, Drag, -240.1, 0.14, 2-3, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 152.531, Drag, -389.3, 0.22, 2-3-4, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 152.731, Drag, -696.4, 0.40, 3-4, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 152.931, Drag, -730.5, 0.41, 4-5, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 153.415, Drag, -756.1, 0.43, 4-5, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 153.615, Drag, -1284.8, 0.72, 6-7, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 155.098, Drag, -1284.8, 0.72, 6-7, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 156.064, Drag, -1301.9, 0.73, 6-7, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 156.264, Drag, -1485.2, 0.84, 6-7-8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 156.464, Drag, -1617.4, 0.91, 6-7-8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 156.664, Drag, -1694.2, 0.95, 7-8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 156.881, Drag, -1736.8, 0.98, 7-8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 157.581, Drag, -1753.9, 0.99, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 158.832, Drag, -1758.2, 0.99, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 159.200, Drag, -1771.0, 1.00, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 159.632, Drag, -1771.0, 1.00, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 159.869, Drag, -1771.0, 1.00, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 160.781, Drag, -1771.0, 1.00, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 160.981, Drag, -1771.0, 1.00, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 161.181, Drag, -1771.0, 1.00, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 161.381, Drag, -1771.0, 1.00, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 161.614, DragEnd, -1771.0, 1.00, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 5.755, Wheel, 20.0, 0.00, 0, 0
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 6.132, Wheel, 20.0, 0.00, 0, 0
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 56.171, Wheel, 20.0, 0.00, None, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 105.983, Wheel, -1771.0, 1.00, 8, 1
nszw26001_Cp1TxPv7zw,2026-01-27_20-02-34,2026-01-27_20-13-06,ItoI_name, 106.015, Wheel, -1771.0, 1.00, 8, 1
