ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 5.182, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 5.447, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 5.714, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 6.131, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 6.164, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 6.532, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 6.565, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 6.598, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 18.963, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 18.979, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 18.996, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 19.012, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 19.279, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 19.296, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 19.312, Wheel, 20.0, 0.00, 0, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 44.542, Wheel, -611.0, 0.97, 3-4, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 44.574, Wheel, -614.4, 0.97, 3-4, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 44.591, Wheel, -615.8, 0.97, 3-4, 0
nszw26001_DEO9rAwyZQ,2026-01-27_20-02-37,2026-01-27_20-08-14,ItoI_name, 44.608, Wheel, -617.1, 0.98, 3-4, 0
