ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 0.876, Wheel, 20.0, 0.00, None, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 0.908, Wheel, 20.0, 0.00, None, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 0.975, Wheel, 20.0, 0.00, None, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 37.179, Wheel, -611.0, 0.97, 3-4, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 37.194, Wheel, -612.8, 0.97, 3-4, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 37.211, Wheel, -614.4, 0.97, 3-4, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 37.227, Wheel, -615.8, 0.97, 3-4, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 37.245, Wheel, -617.1, 0.98, 3-4, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 37.261, Wheel, -618.3, 0.98, 3-4, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 43.013, Drag, -1071.1, 0.97, 5-6, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 43.229, Drag, -926.4, 0.84, 4-5-6, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 43.445, Drag, -439.2, 0.41, 2-3-4, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 43.661, Drag, -219.3, 0.21, 2-3, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 43.877, Drag, -66.2, 0.07, 0-1-2, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 44.152, DragEnd, 17.2, 0.00, 0-1-2, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 54.299, Drag, -1360.6, 0.86, 6-7-8, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 54.515, Drag, -666.5, 0.43, 4-5, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 54.731, Drag, -317.5, 0.21, 2-3-4, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 54.947, Drag, -165.8, 0.11, 1-2-3, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 55.147, Drag, -29.3, 0.03, 0-1-2, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 55.363, Drag, -313.7, 0.20, 2-3-4, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 55.579, Drag, -1573.0, 1.00, 7-8, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 55.687, DragEnd, -1573.0, 1.00, 7-8, 0
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 123.033, Wheel, -633.0, 0.97, 3-4, 1
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 123.085, Wheel, -637.8, 0.98, 3-4, 1
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 123.133, Wheel, -641.4, 0.98, 4, 1
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 123.150, Wheel, -642.3, 0.98, 4, 1
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 123.182, Wheel, -644.0, 0.98, 4, 1
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 236.630, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_DM9uQVfDet,2026-01-28_00-06-09,2026-01-28_00-19-00,ItoI_name, 236.662, Wheel, -1617.0, 1.00, 7-8, 1
