ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 10.950, Wheel, 20.0, 0.00, 0, 0
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 10.982, Wheel, 20.0, 0.00, 0, 0
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 10.998, Wheel, 20.0, 0.00, 0, 0
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 11.017, Wheel, 20.0, 0.00, 0, 0
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 11.066, Wheel, 20.0, 0.00, 0, 0
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 21.943, Wheel, -163.0, 1.00, 2, 0
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 131.272, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 131.371, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 53.942, Wheel, -163.0, 1.00, 2, 1
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 54.379, Wheel, -144.2, 0.89, 1-2, 1
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 69.545, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 69.613, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_EtIIdDWLQa,2026-01-27_20-02-37,2026-01-27_20-09-36,ItoI_noname, 70.350, Wheel, -1595.0, 1.00, 7-8, 1
