ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 1.794, Wheel, 20.0, 0.00, None, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 2.210, Wheel, 20.0, 0.00, 0, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 5.343, Wheel, 20.0, 0.00, 0, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 24.591, Wheel, -185.0, 1.00, 2, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 24.641, Wheel, -179.5, 0.97, 1-2, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 25.239, Wheel, -145.7, 0.80, 1-2, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 35.971, Wheel, -125.0, 0.70, 1-2, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 36.604, Wheel, -144.6, 0.80, 1-2, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 37.937, Wheel, -165.0, 0.90, 1-2, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 37.970, Wheel, -168.8, 0.92, 1-2, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 38.020, Wheel, -173.1, 0.94, 1-2, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 47.119, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 47.152, Wheel, -607.2, 0.99, 3-4, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 47.203, Wheel, -597.3, 0.97, 3-4, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 47.436, Wheel, -561.6, 0.92, 3-4, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 47.470, Wheel, -555.7, 0.91, 2-3-4, 0
nszw26001_F8NqFg4YQo,2026-01-27_23-03-19,2026-01-27_23-09-07,ItoI_name, 47.486, Wheel, -551.3, 0.90, 2-3-4, 0
