ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 78.031, Drag, -121.6, 0.77, 1-2, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 78.248, Drag, -115.0, 0.73, 1-2, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 78.464, Drag, -112.8, 0.72, 1-2, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 79.533, DragEnd, -112.4, 0.72, 1-2, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 131.896, Drag, -446.9, 0.76, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 132.112, Drag, -409.2, 0.70, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 132.312, Drag, -378.7, 0.65, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 132.562, Drag, -365.7, 0.63, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 133.228, Drag, -359.9, 0.62, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 133.462, Drag, -386.0, 0.66, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 133.678, Drag, -413.5, 0.71, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 133.912, Drag, -454.1, 0.77, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 134.129, Drag, -503.4, 0.85, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 134.394, Drag, -523.7, 0.89, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 134.595, Drag, -529.5, 0.90, 2-3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 134.895, Drag, -546.9, 0.93, 3-4, 0
nszw26001_FbzlHqnjmo,2026-01-27_20-21-08,2026-01-27_20-34-44,ItoE_noname, 136.402, DragEnd, -546.9, 0.93, 3-4, 0
