ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.019, Wheel, 20.0, 0.00, 0, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.711, Wheel, 20.0, 0.00, 0, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.744, Wheel, 20.0, 0.00, 0, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 2.810, Wheel, 20.0, 0.00, 0, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 6.518, Wheel, 20.0, 0.00, 0, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 6.617, Wheel, 20.0, 0.00, 0, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 27.166, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 27.182, Wheel, -587.0, 0.99, 3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 27.630, Wheel, -551.2, 0.93, 3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 27.664, Wheel, -546.9, 0.93, 3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 27.731, Wheel, -533.9, 0.90, 2-3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 28.362, Wheel, -489.8, 0.83, 2-3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 28.396, Wheel, -485.8, 0.83, 2-3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 28.412, Wheel, -482.1, 0.82, 2-3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 28.445, Wheel, -472.0, 0.80, 2-3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 29.243, Wheel, -409.4, 0.70, 2-3-4, 0
nszw26001_FiusfL7GsQ,2026-01-27_23-15-46,2026-01-27_23-20-45,ItoI_noname, 29.276, Wheel, -405.5, 0.69, 2-3-4, 0
