ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 0.976, Wheel, 20.0, 0.00, None, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 3.158, Wheel, 20.0, 0.00, 0, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 7.741, Wheel, 20.0, 0.00, 0, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 8.225, Wheel, 20.0, 0.00, 0, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 8.391, Wheel, 20.0, 0.00, 0, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 23.374, Wheel, 20.0, 0.00, 0, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 24.041, Wheel, 20.0, 0.00, 0, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 39.492, Wheel, -185.0, 1.00, 2, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 40.041, Wheel, -165.6, 0.90, 1-2, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 40.458, Wheel, -146.4, 0.81, 1-2, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 67.824, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 68.307, Wheel, -591.9, 0.96, 3-4, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 119.524, Wheel, -1573.0, 1.00, 7-8, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 119.624, Wheel, -1563.6, 0.99, 7-8, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 119.740, Wheel, -1547.6, 0.98, 7-8, 0
nszw26001_Fpx9UKDnL8,2026-01-27_20-02-44,2026-01-27_20-17-58,ItoI_name, 119.924, Wheel, -1523.8, 0.96, 7-8, 0
