ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 45.962, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 49.527, Wheel, -591.0, 0.96, 3-4, 0
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 50.060, Wheel, -571.6, 0.93, 3-4, 0
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 129.436, Drag, -1050.0, 0.90, 5-6, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 129.650, Drag, -879.0, 0.75, 4-5-6, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 129.850, Drag, -814.2, 0.70, 4-5-6, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 130.050, Drag, -764.1, 0.66, 4-5-6, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 130.267, Drag, -737.5, 0.63, 4-5-6, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 130.483, Drag, -731.6, 0.63, 4-5, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 130.687, Drag, -705.1, 0.61, 4-5, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 130.899, Drag, -793.5, 0.68, 4-5-6, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 131.100, Drag, -1165.0, 1.00, 6, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 131.300, Drag, -1165.0, 1.00, 6, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 131.440, DragEnd, -1165.0, 1.00, 6, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 144.932, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 144.948, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_G60r5eAWDE,2026-01-27_23-06-11,2026-01-27_23-12-42,ItoI_name, 144.965, Wheel, -1617.0, 1.00, 7-8, 1
