ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 30.057, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 30.290, Wheel, -573.5, 0.97, 3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 30.457, Wheel, -557.5, 0.94, 3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 30.723, Wheel, -534.2, 0.91, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 30.740, Wheel, -531.7, 0.90, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 30.773, Wheel, -523.6, 0.89, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 31.040, Wheel, -479.1, 0.81, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 31.056, Wheel, -476.1, 0.81, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 31.073, Wheel, -471.4, 0.80, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 31.106, Wheel, -459.5, 0.78, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 31.390, Wheel, -400.7, 0.69, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 31.423, Wheel, -394.7, 0.68, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 31.440, Wheel, -390.1, 0.67, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 31.456, Wheel, -384.0, 0.66, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 31.473, Wheel, -376.5, 0.65, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.423, Wheel, -289.0, 0.50, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.440, Wheel, -291.0, 0.51, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.457, Wheel, -294.8, 0.51, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.473, Wheel, -300.2, 0.52, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.490, Wheel, -307.0, 0.53, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.823, Wheel, -379.0, 0.65, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.856, Wheel, -384.7, 0.66, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.874, Wheel, -389.1, 0.67, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.890, Wheel, -395.1, 0.68, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 33.906, Wheel, -402.5, 0.69, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.456, Wheel, -489.0, 0.83, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.473, Wheel, -491.0, 0.83, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.490, Wheel, -494.8, 0.84, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.506, Wheel, -500.2, 0.85, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.523, Wheel, -507.0, 0.86, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.540, Wheel, -515.2, 0.87, 2-3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.856, Wheel, -579.0, 0.98, 3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.873, Wheel, -580.0, 0.98, 3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.889, Wheel, -580.9, 0.98, 3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.906, Wheel, -581.7, 0.98, 3-4, 0
nszw26001_GQQwpZrwZT,2026-01-27_23-06-11,2026-01-27_23-11-38,ItoI_noname, 37.923, Wheel, -582.4, 0.98, 3-4, 0
