ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 10.656, Wheel, 20.0, 0.00, 0, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 10.688, Wheel, 20.0, 0.00, 0, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 11.055, Wheel, 20.0, 0.00, 0, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 11.105, Wheel, 20.0, 0.00, 0, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 14.388, Wheel, 20.0, 0.00, 0, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 15.154, Wheel, 20.0, 0.00, 0, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 26.588, Wheel, 20.0, 0.00, 0, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 41.320, Wheel, -163.0, 1.00, 2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 41.537, Wheel, -148.0, 0.91, 1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 41.604, Wheel, -139.4, 0.87, 1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 41.654, Wheel, -129.5, 0.81, 1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 45.521, Wheel, -83.0, 0.56, 1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 45.554, Wheel, -79.2, 0.54, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 45.720, Wheel, -55.6, 0.41, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 45.904, Wheel, -33.2, 0.29, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 45.970, Wheel, -22.8, 0.23, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 64.336, Wheel, 17.0, 0.01, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 64.586, Wheel, 1.1, 0.10, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 69.536, Wheel, -23.0, 0.23, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 69.620, Wheel, -31.1, 0.27, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 69.803, Wheel, -53.0, 0.39, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 69.936, Wheel, -70.0, 0.49, 0-1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 70.203, Wheel, -96.9, 0.63, 1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 70.769, Wheel, -122.2, 0.77, 1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 70.819, Wheel, -127.8, 0.80, 1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 70.886, Wheel, -139.9, 0.87, 1-2, 0
nszw26001_HGZj19V8gq,2026-01-28_00-36-53,2026-01-28_00-52-56,ItoE_noname, 71.052, Wheel, -154.9, 0.95, 1-2, 0
