ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 29.316, Wheel, -185.0, 1.00, 2, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 29.731, Wheel, -166.4, 0.90, 1-2, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 29.798, Wheel, -159.0, 0.87, 1-2, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 37.364, Wheel, -125.0, 0.70, 1-2, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 37.747, Wheel, -143.2, 0.79, 1-2, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 37.781, Wheel, -147.3, 0.81, 1-2, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 38.347, Wheel, -183.9, 0.99, 2, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 62.481, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 62.631, Wheel, -598.7, 0.98, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 63.164, Wheel, -571.9, 0.93, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 63.214, Wheel, -566.2, 0.92, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 63.330, Wheel, -547.8, 0.89, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 63.931, Wheel, -511.8, 0.84, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 63.981, Wheel, -506.1, 0.83, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 64.497, Wheel, -472.3, 0.78, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 64.531, Wheel, -468.2, 0.77, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 64.581, Wheel, -458.1, 0.75, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 65.031, Wheel, -413.7, 0.68, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 65.114, Wheel, -404.4, 0.67, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 65.164, Wheel, -395.3, 0.65, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 65.897, Wheel, -351.4, 0.58, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 65.931, Wheel, -347.5, 0.58, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 66.031, Wheel, -330.4, 0.55, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 67.814, Wheel, -291.0, 0.49, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 67.864, Wheel, -296.4, 0.50, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 67.914, Wheel, -305.7, 0.51, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 68.347, Wheel, -348.0, 0.58, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 68.381, Wheel, -352.4, 0.59, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 68.397, Wheel, -356.2, 0.59, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 68.414, Wheel, -361.7, 0.60, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 68.864, Wheel, -426.9, 0.70, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 68.881, Wheel, -429.3, 0.71, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 68.914, Wheel, -437.2, 0.72, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 68.947, Wheel, -447.4, 0.74, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 69.414, Wheel, -507.6, 0.83, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 69.447, Wheel, -512.1, 0.84, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 69.848, Wheel, -547.8, 0.89, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 69.881, Wheel, -552.2, 0.90, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 69.914, Wheel, -559.6, 0.91, 2-3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 70.298, Wheel, -606.4, 0.99, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 70.331, Wheel, -607.3, 0.99, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 70.364, Wheel, -608.0, 0.99, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 70.664, Wheel, -610.5, 0.99, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 70.714, Wheel, -610.6, 0.99, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 79.214, Wheel, -611.0, 0.97, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 79.748, Wheel, -628.3, 0.99, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 79.814, Wheel, -628.5, 0.99, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 80.147, Wheel, -629.0, 1.00, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 80.197, Wheel, -629.0, 1.00, 3-4, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 86.964, Wheel, -1081.0, 1.00, 5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 87.081, Wheel, -1070.5, 0.99, 5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 87.131, Wheel, -1062.5, 0.98, 5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 87.231, Wheel, -1043.0, 0.96, 5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 87.614, Wheel, -1004.7, 0.93, 5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 87.664, Wheel, -998.2, 0.92, 5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 87.698, Wheel, -991.2, 0.91, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 87.864, Wheel, -958.5, 0.88, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 88.331, Wheel, -922.9, 0.85, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 88.364, Wheel, -918.7, 0.85, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 88.381, Wheel, -915.0, 0.84, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 88.764, Wheel, -865.7, 0.80, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 88.797, Wheel, -861.0, 0.80, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 88.831, Wheel, -853.4, 0.79, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 88.881, Wheel, -839.2, 0.78, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 89.931, Wheel, -781.0, 0.72, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 89.964, Wheel, -784.8, 0.73, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 90.031, Wheel, -797.2, 0.74, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 90.481, Wheel, -838.4, 0.77, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 90.514, Wheel, -842.7, 0.78, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 90.531, Wheel, -846.5, 0.78, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 90.547, Wheel, -852.0, 0.79, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 90.564, Wheel, -858.9, 0.79, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 90.964, Wheel, -934.4, 0.86, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 90.980, Wheel, -937.1, 0.86, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 90.997, Wheel, -941.4, 0.87, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 91.030, Wheel, -952.8, 0.88, 4-5-6, 0
nszw26001_HOzKWV49ES,2026-01-27_20-02-33,2026-01-27_20-11-00,ItoI_name, 91.981, Wheel, -1020.8, 0.94, 5-6, 0
