ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 2.095, Wheel, 20.0, 0.00, 0, 0
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 98.756, Wheel, -1463.0, 1.00, 7-8, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 98.789, Wheel, -1463.0, 1.00, 7-8, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 98.822, Wheel, -1463.0, 1.00, 7-8, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 8.377, Wheel, -153.4, 0.94, 1-2, 0
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 8.426, Wheel, -156.0, 0.96, 1-2, 0
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 16.659, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 16.709, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 16.760, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 17.143, Wheel, -589.0, 0.97, 3-4, 0
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 17.209, Wheel, -595.1, 0.98, 3-4, 0
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 35.025, Wheel, 20.0, 0.00, None, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 35.058, Wheel, 20.0, 0.00, None, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 35.075, Wheel, 20.0, 0.00, None, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 35.109, Wheel, 20.0, 0.00, None, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 35.342, Wheel, 20.0, 0.00, None, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 35.359, Wheel, 20.0, 0.00, None, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 35.376, Wheel, 20.0, 0.00, None, 1
nszw26001_HmO75vu4bN,2026-01-27_20-02-34,2026-01-27_20-07-01,ItoE_noname, 35.392, Wheel, 20.0, 0.00, None, 1
