ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 6.586, Wheel, 20.0, 0.00, 0, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 6.979, Wheel, 20.0, 0.00, 0, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 7.738, Wheel, 20.0, 0.00, 0, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 18.419, Wheel, 20.0, 0.00, 0, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 18.538, Wheel, 20.0, 0.00, 0, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 18.841, Wheel, 20.0, 0.00, 0, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 31.296, Wheel, -185.0, 1.00, 2, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 57.967, Wheel, -611.0, 0.97, 3-4, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 58.704, Wheel, -591.1, 0.94, 3-4, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 59.240, Wheel, -571.6, 0.91, 3-4, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 59.592, Wheel, -553.2, 0.88, 2-3-4, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 59.672, Wheel, -544.1, 0.86, 2-3-4, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 59.936, Wheel, -519.4, 0.83, 2-3-4, 0
nszw26001_IZU9PBKF1A,2026-01-27_20-03-11,2026-01-27_20-09-20,ItoE_name, 59.988, Wheel, -511.7, 0.81, 2-3-4, 0
