ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 55.097, Drag, -362.8, 0.62, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 55.314, Drag, -281.6, 0.49, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 56.130, Drag, -270.0, 0.47, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 56.331, Drag, -306.2, 0.53, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 56.547, Drag, -364.2, 0.63, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 56.764, Drag, -458.5, 0.78, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 56.981, Drag, -526.6, 0.89, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 59.196, Drag, -526.6, 0.89, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 59.397, Drag, -426.5, 0.73, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 59.599, Drag, -359.9, 0.62, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 59.814, Drag, -270.0, 0.47, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 60.030, Drag, -227.9, 0.40, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 60.230, Drag, -174.2, 0.31, 2-3, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 60.697, Drag, -172.8, 0.31, 2-3, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 61.230, Drag, -135.1, 0.25, 1-2, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 62.130, Drag, -129.3, 0.24, 1-2, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 63.180, Drag, -119.1, 0.22, 1-2, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 63.380, Drag, -217.8, 0.39, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 63.580, Drag, -301.9, 0.52, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 63.781, Drag, -364.2, 0.63, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 64.680, Drag, -380.2, 0.65, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 64.880, Drag, -478.8, 0.81, 2-3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 65.597, Drag, -542.6, 0.92, 3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 65.797, Drag, -589.0, 1.00, 3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 66.242, DragEnd, -589.0, 1.00, 3-4, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 89.830, Drag, -840.6, 0.79, 4-5-6, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 90.030, Drag, -730.1, 0.69, 4-5-6, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 90.829, Drag, -709.6, 0.67, 4-5-6, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 91.046, Drag, -1007.6, 0.95, 5-6, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 91.247, Drag, -1059.0, 1.00, 5-6, 0
nszw26001_IgVtaPzHsX,2026-01-27_20-02-48,2026-01-27_20-10-14,ItoE_noname, 91.495, DragEnd, -1059.0, 1.00, 5-6, 0
