ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 31.611, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 31.660, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 34.644, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 34.694, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 34.727, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 35.577, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 35.610, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 35.644, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 40.694, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 81.176, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 81.259, Wheel, 20.0, 0.00, 0, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 94.608, Drag, -116.8, 0.74, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 94.808, Drag, -81.5, 0.55, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 95.024, Drag, -65.4, 0.46, 0-1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 95.958, Drag, -61.9, 0.44, 0-1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 96.158, Drag, -67.5, 0.47, 0-1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 96.358, Drag, -73.2, 0.50, 0-1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 96.608, Drag, -81.0, 0.55, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 96.824, Drag, -88.9, 0.59, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 97.025, Drag, -98.9, 0.65, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 97.241, Drag, -111.5, 0.71, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 97.441, Drag, -129.0, 0.81, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 97.585, DragEnd, -135.1, 0.84, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 115.824, Drag, -105.0, 0.68, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 116.024, Drag, -68.4, 0.48, 0-1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 116.224, Drag, -55.8, 0.41, 0-1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 116.479, DragEnd, -54.0, 0.40, 0-1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 118.341, Drag, -120.3, 0.76, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 118.557, Drag, -151.2, 0.93, 1-2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 118.757, Drag, -163.0, 1.00, 2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 118.934, DragEnd, -163.0, 1.00, 2, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 180.388, Wheel, -1059.0, 0.98, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 180.405, Wheel, -1057.0, 0.98, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 180.422, Wheel, -1053.2, 0.97, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 180.488, Wheel, -1034.5, 0.96, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 183.421, Wheel, -979.0, 0.91, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 183.488, Wheel, -985.8, 0.91, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 183.538, Wheel, -994.8, 0.92, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 183.588, Wheel, -1006.8, 0.93, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 184.338, Wheel, -1058.5, 0.98, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 184.371, Wheel, -1062.0, 0.98, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 184.388, Wheel, -1063.5, 0.98, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 184.454, Wheel, -1068.1, 0.99, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 189.872, Drag, -935.0, 0.87, 4-5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 190.087, Drag, -596.7, 0.56, 3-4-5, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 190.288, Drag, -479.3, 0.45, 2-3-4, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 190.504, Drag, -441.1, 0.42, 2-3-4, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 190.705, Drag, -413.8, 0.39, 2-3-4, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 190.922, Drag, -383.8, 0.36, 2-3-4, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 191.138, Drag, -326.5, 0.31, 2-3-4, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 191.355, Drag, -244.6, 0.24, 2-3-4, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 191.555, Drag, -214.6, 0.21, 2-3, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 191.771, Drag, -195.5, 0.19, 2-3, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 191.971, Drag, -173.7, 0.17, 2-3, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 192.205, Drag, -165.5, 0.16, 2-3, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 192.471, Drag, -160.1, 0.16, 2-3, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 192.688, Drag, -233.7, 0.23, 2-3, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 192.888, Drag, -599.4, 0.56, 3-4-5, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 193.104, Drag, -1025.1, 0.95, 5-6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 193.321, Drag, -1077.0, 1.00, 6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 193.520, DragEnd, -1077.0, 1.00, 6, 0
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 315.950, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 316.000, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 316.016, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 317.816, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 317.833, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 317.866, Wheel, -1595.0, 1.00, 7-8, 1
nszw26001_IpS7AdBLqS,2026-01-27_20-02-41,2026-01-27_20-11-57,ItoI_noname, 317.916, Wheel, -1595.0, 1.00, 7-8, 1
