ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 8.454, Wheel, 20.0, 0.00, 0, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 39.392, Wheel, -163.0, 1.00, 2, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 39.793, Wheel, -144.5, 0.89, 1-2, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 84.102, Drag, -915.9, 0.85, 4-5-6, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 84.467, Drag, -621.2, 0.58, 4-5, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 84.669, Drag, -782.2, 0.73, 4-5-6, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 84.869, Drag, -877.7, 0.81, 4-5-6, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 85.070, Drag, -962.3, 0.89, 4-5-6, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 85.271, Drag, -1060.6, 0.98, 5-6, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 85.469, DragEnd, -1077.0, 1.00, 6, 0
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 107.753, Wheel, 20.0, 0.00, 0, 1
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 108.404, Wheel, 20.0, 0.00, 0, 1
nszw26001_JAA6rTAO7n,2026-01-27_23-38-45,2026-01-27_23-45-07,ItoI_noname, 1.096, Wheel, 20.0, 0.00, None, 0
