ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 94.521, Wheel, -611.0, 0.97, 3-4, 1
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 94.620, Wheel, -619.4, 0.98, 4, 1
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 24.770, Wheel, -589.0, 0.97, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 24.804, Wheel, -592.4, 0.97, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 24.870, Wheel, -597.4, 0.98, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 25.288, Wheel, -606.3, 0.99, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 25.320, Wheel, -606.4, 0.99, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 25.338, Wheel, -606.4, 0.99, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 25.387, Wheel, -606.6, 0.99, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 25.687, Wheel, -607.0, 1.00, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 25.720, Wheel, -607.0, 1.00, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 25.754, Wheel, -607.0, 1.00, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 25.787, Wheel, -607.0, 1.00, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 26.104, Wheel, -607.0, 1.00, 3-4, 0
nszw26001_JyOH8Q5aqb,2026-01-27_23-09-06,2026-01-27_23-14-28,ItoI_noname, 26.137, Wheel, -607.0, 1.00, 3-4, 0
