ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 7.238, Wheel, 20.0, 0.00, 0, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 7.285, Wheel, 20.0, 0.00, 0, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 7.336, Wheel, 20.0, 0.00, 0, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 36.240, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 53.416, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 53.731, Wheel, -593.7, 0.97, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 53.765, Wheel, -589.3, 0.96, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 54.064, Wheel, -556.7, 0.91, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 54.098, Wheel, -551.8, 0.90, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 54.131, Wheel, -544.1, 0.89, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 54.464, Wheel, -497.4, 0.82, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 54.497, Wheel, -492.4, 0.81, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 54.547, Wheel, -481.2, 0.79, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 54.814, Wheel, -440.3, 0.72, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 54.831, Wheel, -437.3, 0.72, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 54.864, Wheel, -428.5, 0.71, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.014, Wheel, -371.0, 0.61, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.047, Wheel, -374.8, 0.62, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.064, Wheel, -378.4, 0.63, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.080, Wheel, -383.6, 0.63, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.114, Wheel, -396.4, 0.66, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.363, Wheel, -455.6, 0.75, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.397, Wheel, -462.3, 0.76, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.413, Wheel, -467.2, 0.77, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.430, Wheel, -473.6, 0.78, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.696, Wheel, -536.6, 0.88, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.747, Wheel, -545.9, 0.89, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 56.796, Wheel, -558.1, 0.91, 2-3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 57.030, Wheel, -598.9, 0.98, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 57.080, Wheel, -602.1, 0.98, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 57.096, Wheel, -603.0, 0.98, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 58.012, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 58.046, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 58.312, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 58.346, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_KWPfKUYno8,2026-01-27_23-02-40,2026-01-27_23-06-46,ItoI_name, 58.396, Wheel, -611.0, 1.00, 3-4, 0
