ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 15.674, Wheel, 20.0, 0.00, 0, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 16.056, Wheel, 20.0, 0.00, 0, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 46.356, Drag, -63.4, 0.40, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 49.577, DragEnd, -52.2, 0.35, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 50.339, Drag, -52.7, 0.35, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 50.557, Drag, -60.0, 0.39, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 50.773, Drag, -65.9, 0.41, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 50.989, Drag, -74.6, 0.46, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 51.222, Drag, -79.0, 0.48, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 51.439, Drag, -80.0, 0.48, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 51.657, Drag, -83.4, 0.50, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 61.806, Drag, -86.8, 0.52, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 62.022, Drag, -94.2, 0.55, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 62.222, Drag, -99.5, 0.58, 0-1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 62.422, Drag, -105.4, 0.61, 1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 62.638, Drag, -110.8, 0.63, 1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 62.838, Drag, -116.1, 0.66, 1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 63.106, Drag, -120.5, 0.68, 1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 63.174, DragEnd, -122.5, 0.69, 1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 65.339, Drag, -103.9, 0.60, 1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 65.555, Drag, -148.3, 0.82, 1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 65.771, Drag, -165.4, 0.90, 1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 65.972, Drag, -178.6, 0.96, 1-2, 0
nszw26001_Kn9Kkcehd1,2026-01-27_23-08-09,2026-01-27_23-20-18,ItoI_name, 66.126, DragEnd, -181.5, 0.98, 2, 0
