ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 38.897, Drag, -90.7, 0.54, 0-1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 39.111, Drag, -82.5, 0.50, 0-1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 39.811, Drag, -78.1, 0.47, 0-1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 40.028, Drag, -90.7, 0.54, 0-1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 40.244, Drag, -100.0, 0.58, 0-1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 40.461, Drag, -109.3, 0.63, 1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 40.678, Drag, -118.6, 0.67, 1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 40.878, Drag, -124.9, 0.70, 1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 41.127, Drag, -129.3, 0.72, 1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 41.394, Drag, -134.7, 0.75, 1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 41.611, Drag, -137.1, 0.76, 1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 42.477, Drag, -138.6, 0.77, 1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 43.350, DragEnd, -139.1, 0.77, 1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 225.706, Drag, -846.4, 0.80, 4-5-6, 1
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 225.922, Drag, -795.6, 0.75, 4-5-6, 1
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 226.122, Drag, -752.8, 0.71, 4-5-6, 1
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 227.455, Drag, -715.3, 0.68, 4-5-6, 1
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 227.656, Drag, -800.9, 0.76, 4-5-6, 1
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 227.873, Drag, -907.9, 0.86, 4-5-6, 1
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 228.088, Drag, -972.1, 0.92, 5-6, 1
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 228.305, Drag, -1052.3, 0.99, 6, 1
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 228.950, DragEnd, -1055.0, 1.00, 6, 1
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 69.086, Drag, -1368.1, 0.87, 6-7-8, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 69.286, Drag, -1235.4, 0.78, 6-7-8, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 69.503, Drag, -795.4, 0.51, 4-5-6, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 69.703, Drag, -461.6, 0.30, 2-3-4, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 69.903, Drag, -291.0, 0.19, 2-3-4, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 70.120, Drag, -165.8, 0.11, 1-2-3, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 71.669, Drag, -139.3, 0.10, 1-2, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 71.902, Drag, -203.7, 0.14, 2-3, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 72.235, Drag, -222.7, 0.15, 2-3, 0
nszw26001_KrbArAxahq,2026-01-27_23-01-50,2026-01-27_23-16-44,ItoE_name, 72.452, Drag, -533.7, 0.34, 2-3-4, 0
