ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 13.317, Wheel, 20.0, 0.00, 0, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 13.671, Wheel, 20.0, 0.00, 0, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 40.765, Drag, -75.1, 0.46, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 40.980, Drag, -64.9, 0.41, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 41.797, Drag, -62.0, 0.40, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 42.026, Drag, -66.8, 0.42, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 42.263, Drag, -70.2, 0.44, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 42.509, Drag, -73.2, 0.45, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 42.725, Drag, -75.1, 0.46, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 43.071, DragEnd, -76.1, 0.46, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 55.147, Wheel, -76.1, 0.46, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 55.641, Wheel, -95.3, 0.56, 0-1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 55.726, Wheel, -103.8, 0.60, 1-2, 0
nszw26001_LFiUg1xJC7,2026-01-27_23-01-29,2026-01-27_23-07-37,ItoE_name, 55.831, Wheel, -118.9, 0.67, 1-2, 0
