ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 103.741, Drag, -119.4, 0.76, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 104.290, Drag, -80.2, 0.54, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 104.506, Drag, -110.7, 0.71, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 104.723, Drag, -129.8, 0.81, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 104.939, Drag, -117.6, 0.75, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 105.156, Drag, -73.2, 0.50, 0-1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 106.005, Drag, -69.3, 0.48, 0-1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 106.221, Drag, -89.8, 0.60, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 106.438, Drag, -114.6, 0.73, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 106.730, DragEnd, -131.1, 0.82, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 180.414, Drag, -355.5, 0.61, 2-3-4, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 180.630, Drag, -235.2, 0.41, 2-3-4, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 180.830, Drag, -156.9, 0.29, 1-2-3, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 181.046, Drag, -98.9, 0.19, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 181.263, Drag, -55.4, 0.12, 0-1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 181.712, Drag, -61.2, 0.13, 0-1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 183.053, DragEnd, -111.9, 0.21, 1-2, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 208.808, Drag, -212.0, 0.38, 2-3, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 209.008, Drag, -293.2, 0.51, 2-3-4, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 209.224, Drag, -425.1, 0.73, 2-3-4, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 209.441, Drag, -488.9, 0.83, 2-3-4, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 209.740, Drag, -568.7, 0.96, 3-4, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 210.435, DragEnd, -577.4, 0.98, 3-4, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 271.443, Wheel, -1058.8, 0.99, 5-6, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 273.657, Drag, -889.4, 0.84, 4-5-6, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 273.874, Drag, -743.0, 0.70, 4-5-6, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 275.673, Drag, -681.3, 0.65, 4-5-6, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 275.889, Drag, -853.4, 0.80, 4-5-6, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 276.605, Drag, -927.9, 0.87, 4-5-6, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 278.937, Drag, -979.3, 0.92, 5-6, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 279.153, Drag, -1030.7, 0.97, 5-6, 0
nszw26001_LUTzDfK8xS,2026-01-27_20-02-49,2026-01-27_20-22-57,ItoE_noname, 279.403, Drag, -1035.8, 0.97, 5-6, 0
