ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 14.592, Wheel, 20.0, 0.00, 0, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 14.772, Wheel, 20.0, 0.00, 0, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 14.990, Wheel, 20.0, 0.00, 0, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 41.461, Wheel, 20.0, 0.00, 0, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 64.152, Wheel, -185.0, 1.00, 2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 64.350, Wheel, -170.6, 0.92, 1-2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 64.434, Wheel, -160.1, 0.87, 1-2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 64.888, Wheel, -127.0, 0.71, 1-2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 64.937, Wheel, -121.0, 0.68, 1-2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 65.004, Wheel, -108.6, 0.62, 1-2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 71.804, Wheel, -65.0, 0.41, 0-1-2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 71.955, Wheel, -77.2, 0.47, 0-1-2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 72.022, Wheel, -86.7, 0.52, 0-1-2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 72.139, Wheel, -106.7, 0.61, 1-2, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 85.338, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 85.774, Wheel, -592.4, 0.97, 3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 85.824, Wheel, -586.6, 0.96, 3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 86.242, Wheel, -553.5, 0.90, 2-3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 86.292, Wheel, -547.4, 0.89, 2-3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 86.829, Wheel, -512.2, 0.84, 2-3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 86.879, Wheel, -506.4, 0.83, 2-3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 87.397, Wheel, -472.3, 0.78, 2-3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 87.432, Wheel, -468.2, 0.77, 2-3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 87.485, Wheel, -458.1, 0.75, 2-3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 87.817, Wheel, -417.3, 0.69, 2-3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 87.868, Wheel, -410.2, 0.68, 2-3-4, 0
nszw26001_MuruUoWmIb,2026-01-27_23-39-04,2026-01-27_23-45-54,ItoI_name, 87.883, Wheel, -406.3, 0.67, 2-3-4, 0
