ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 7.510, Wheel, 20.0, 0.00, 0, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 58.585, Wheel, -589.0, 0.97, 3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 58.635, Wheel, -583.5, 0.96, 3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.035, Wheel, -551.7, 0.91, 3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.052, Wheel, -549.4, 0.90, 3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.069, Wheel, -545.4, 0.90, 3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.319, Wheel, -500.6, 0.83, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.336, Wheel, -497.4, 0.82, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.352, Wheel, -492.6, 0.81, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.369, Wheel, -486.2, 0.80, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.903, Wheel, -411.6, 0.68, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.919, Wheel, -409.3, 0.68, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.936, Wheel, -405.3, 0.67, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.953, Wheel, -399.7, 0.66, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 59.986, Wheel, -386.2, 0.64, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.170, Wheel, -333.2, 0.56, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.186, Wheel, -328.8, 0.55, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.203, Wheel, -322.8, 0.54, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.220, Wheel, -315.4, 0.53, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.236, Wheel, -306.8, 0.52, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.436, Wheel, -236.6, 0.40, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.453, Wheel, -231.8, 0.40, 2-3, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.470, Wheel, -225.5, 0.39, 2-3, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.487, Wheel, -217.9, 0.37, 2-3, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 60.520, Wheel, -201.0, 0.35, 2-3, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 67.042, Wheel, -109.0, 0.20, 1-2, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 67.075, Wheel, -112.8, 0.21, 1-2, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 67.092, Wheel, -116.4, 0.21, 1-2, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 67.109, Wheel, -121.6, 0.22, 1-2, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 70.595, Wheel, -189.0, 0.33, 2-3, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 70.612, Wheel, -191.0, 0.33, 2-3, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 70.628, Wheel, -194.8, 0.34, 2-3, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 70.662, Wheel, -205.0, 0.35, 2-3, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 70.979, Wheel, -260.3, 0.44, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 71.012, Wheel, -265.8, 0.45, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 71.045, Wheel, -274.0, 0.46, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 71.312, Wheel, -318.8, 0.54, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 71.329, Wheel, -321.8, 0.54, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 71.345, Wheel, -326.5, 0.55, 2-3-4, 0
nszw26001_PSFuWL7WSF,2026-01-27_20-02-33,2026-01-27_20-08-42,ItoI_noname, 71.379, Wheel, -338.4, 0.57, 2-3-4, 0
