ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.230, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.246, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.262, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.279, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.295, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.312, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.329, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.346, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.362, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.379, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.395, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.529, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.595, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.612, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.629, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.645, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.662, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.678, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.695, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.712, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.728, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.745, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.762, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.778, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 1.812, Wheel, 20.0, 0.00, None, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.060, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.077, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.094, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.111, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.127, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.144, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.160, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.177, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.194, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.210, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.227, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.244, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.261, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.277, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.294, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.311, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.327, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.361, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 3.394, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 7.857, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 7.874, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 7.890, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 7.907, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 7.923, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 7.940, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 7.957, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 7.973, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 7.990, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.007, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.024, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.039, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.073, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.090, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.123, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.139, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.156, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.173, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.190, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.207, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.223, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.240, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 8.290, Wheel, 20.0, 0.00, 0, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.714, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.731, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.748, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.764, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.781, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.798, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.815, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.831, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.864, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.914, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 18.964, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.710, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.727, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.744, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.760, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.777, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.793, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.810, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.827, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.843, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.860, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.876, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.894, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.910, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 64.943, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 65.010, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 65.060, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 65.077, Wheel, 20.0, 0.00, None, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 66.325, Wheel, 20.0, 0.00, 0, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 66.359, Wheel, 20.0, 0.00, 0, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 66.375, Wheel, 20.0, 0.00, 0, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 66.392, Wheel, 20.0, 0.00, 0, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 66.409, Wheel, 20.0, 0.00, 0, 1
nszw26001_PYj8LhXkES,2026-01-27_23-01-50,2026-01-27_23-11-14,ItoE_name, 66.425, Wheel, 20.0, 0.00, 0, 1
