ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 2.016, Wheel, 20.0, 0.00, None, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 2.057, Wheel, 20.0, 0.00, 0, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 6.306, Wheel, 20.0, 0.00, 0, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 6.339, Wheel, 20.0, 0.00, 0, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 6.388, Wheel, 20.0, 0.00, 0, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 6.681, Wheel, 20.0, 0.00, 0, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 6.697, Wheel, 20.0, 0.00, 0, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 6.730, Wheel, 20.0, 0.00, 0, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 29.882, Wheel, -185.0, 1.00, 2, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 29.915, Wheel, -181.2, 0.98, 2, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 39.646, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 39.712, Wheel, -604.1, 0.98, 3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 39.979, Wheel, -577.1, 0.94, 3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 40.054, Wheel, -568.1, 0.93, 3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 40.328, Wheel, -537.1, 0.88, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 40.345, Wheel, -534.5, 0.87, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 40.363, Wheel, -530.2, 0.87, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 40.387, Wheel, -524.2, 0.86, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 40.462, Wheel, -494.2, 0.81, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 40.903, Wheel, -435.0, 0.72, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 40.937, Wheel, -430.5, 0.71, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 40.979, Wheel, -419.8, 0.69, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 41.378, Wheel, -375.3, 0.62, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 41.446, Wheel, -366.9, 0.61, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 42.012, Wheel, -332.0, 0.55, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 42.028, Wheel, -333.9, 0.56, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 42.062, Wheel, -340.9, 0.57, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 42.078, Wheel, -345.9, 0.57, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 42.478, Wheel, -405.8, 0.67, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 42.519, Wheel, -412.6, 0.68, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 42.596, Wheel, -425.8, 0.70, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 43.112, Wheel, -469.2, 0.77, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 43.128, Wheel, -471.4, 0.77, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 43.145, Wheel, -475.4, 0.78, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 43.187, Wheel, -490.4, 0.80, 2-3-4, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.163, Wheel, -1573.0, 1.00, 7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.197, Wheel, -1569.2, 0.99, 7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.238, Wheel, -1562.3, 0.99, 7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.439, Wheel, -1526.9, 0.97, 7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.455, Wheel, -1523.5, 0.96, 7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.472, Wheel, -1518.4, 0.96, 7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.489, Wheel, -1511.9, 0.96, 7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.505, Wheel, -1504.0, 0.95, 7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.538, Wheel, -1486.7, 0.94, 7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.763, Wheel, -1414.4, 0.90, 6-7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.788, Wheel, -1410.3, 0.89, 6-7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.804, Wheel, -1404.5, 0.89, 6-7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.813, Wheel, -1397.4, 0.88, 6-7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 65.829, Wheel, -1388.9, 0.88, 6-7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 66.404, Wheel, -1295.6, 0.82, 6-7-8, 0
nszw26001_Pr68D5zI1X,2026-01-27_23-08-52,2026-01-27_23-13-52,ItoI_name, 66.421, Wheel, -1297.4, 0.82, 6-7-8, 0
