ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 6.030, Wheel, 20.0, 0.00, 0, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 63.904, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 64.020, Wheel, -578.5, 0.98, 3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 64.470, Wheel, -550.7, 0.93, 3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 64.537, Wheel, -543.2, 0.92, 3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 65.128, Wheel, -509.8, 0.87, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 65.162, Wheel, -505.8, 0.86, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 65.195, Wheel, -498.8, 0.85, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 65.578, Wheel, -453.4, 0.77, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 65.595, Wheel, -450.9, 0.77, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 65.645, Wheel, -439.6, 0.75, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 66.095, Wheel, -391.9, 0.67, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 66.120, Wheel, -387.5, 0.66, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 66.145, Wheel, -383.7, 0.66, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 66.887, Wheel, -329.4, 0.57, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 66.936, Wheel, -334.7, 0.58, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 69.162, Wheel, -369.0, 0.63, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 69.829, Wheel, -388.7, 0.67, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 70.195, Wheel, -407.0, 0.70, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 70.678, Wheel, -427.9, 0.73, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 71.603, Wheel, -449.0, 0.77, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 72.062, Wheel, -467.8, 0.80, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 72.162, Wheel, -477.7, 0.81, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 74.228, Wheel, -509.0, 0.86, 2-3-4, 0
nszw26001_QdJqbFsyNH,2026-01-28_00-07-08,2026-01-28_00-14-53,ItoE_noname, 74.262, Wheel, -512.8, 0.87, 2-3-4, 0
