ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 1.546, Wheel, 20.0, 0.00, None, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 1.637, Wheel, 20.0, 0.00, None, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 1.934, Wheel, 20.0, 0.00, None, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 1.955, Wheel, 20.0, 0.00, None, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 1.984, Wheel, 20.0, 0.00, None, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 2.039, Wheel, 20.0, 0.00, 0, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 9.156, Wheel, 20.0, 0.00, 0, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 9.184, Wheel, 20.0, 0.00, 0, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 9.191, Wheel, 20.0, 0.00, 0, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 9.219, Wheel, 20.0, 0.00, 0, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 9.254, Wheel, 20.0, 0.00, 0, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 9.386, Wheel, 20.0, 0.00, 0, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 9.393, Wheel, 20.0, 0.00, 0, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 9.567, Wheel, 20.0, 0.00, 0, 0
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 110.862, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 110.870, Wheel, -1615.0, 0.99, 7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 110.905, Wheel, -1607.7, 0.99, 7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.390, Wheel, -1558.2, 0.96, 7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.550, Wheel, -1543.0, 0.95, 7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.577, Wheel, -1538.0, 0.95, 6-7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.585, Wheel, -1538.0, 0.95, 6-7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.599, Wheel, -1531.9, 0.94, 6-7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.613, Wheel, -1524.4, 0.94, 6-7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.654, Wheel, -1500.7, 0.92, 6-7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.904, Wheel, -1429.5, 0.88, 6-7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.924, Wheel, -1423.3, 0.88, 6-7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.939, Wheel, -1418.7, 0.87, 6-7-8, 1
nszw26001_RMaQFzNVnx,2026-01-27_20-02-37,2026-01-27_20-08-08,ItoI_name, 111.967, Wheel, -1407.0, 0.87, 6-7-8, 1
