ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 21.637, Wheel, -185.0, 1.00, 2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 21.802, Wheel, -171.9, 0.93, 1-2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 22.052, Wheel, -150.5, 0.83, 1-2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 22.686, Wheel, -125.4, 0.70, 1-2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 27.853, Wheel, -105.0, 0.60, 1-2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 28.103, Wheel, -120.8, 0.68, 1-2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 28.470, Wheel, -142.6, 0.79, 1-2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 28.803, Wheel, -162.2, 0.88, 1-2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 29.019, Wheel, -179.2, 0.97, 1-2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 29.086, Wheel, -181.2, 0.98, 2, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 41.336, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 41.736, Wheel, -592.5, 0.97, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 42.020, Wheel, -574.6, 0.94, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.053, Wheel, -551.0, 0.90, 2-3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.070, Wheel, -553.0, 0.90, 2-3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.086, Wheel, -556.8, 0.91, 2-3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.120, Wheel, -567.0, 0.93, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.520, Wheel, -607.4, 0.99, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.536, Wheel, -607.8, 0.99, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.553, Wheel, -608.1, 0.99, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.570, Wheel, -608.4, 0.99, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.586, Wheel, -608.7, 0.99, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.886, Wheel, -610.6, 0.99, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.903, Wheel, -610.6, 0.99, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.920, Wheel, -610.7, 0.99, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 43.970, Wheel, -610.7, 0.99, 3-4, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 58.737, Wheel, -1081.0, 0.98, 5-6, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 59.237, Wheel, -1061.8, 0.96, 5-6, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 59.253, Wheel, -1063.7, 0.96, 5-6, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 59.270, Wheel, -1067.2, 0.97, 5-6, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 59.303, Wheel, -1073.3, 0.97, 5-6, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 1.019, Wheel, 20.0, 0.00, None, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 1.052, Wheel, 20.0, 0.00, None, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 1.085, Wheel, 20.0, 0.00, None, 0
nszw26001_RTFlxd0LMV,2026-01-27_20-02-34,2026-01-27_20-08-00,ItoE_name, 1.285, Wheel, 20.0, 0.00, None, 0
