ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.368, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.419, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.433, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.449, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.466, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.482, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.485, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.500, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.517, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.533, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.550, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.566, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.584, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.600, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.616, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.633, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.650, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.667, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.683, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.700, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.717, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.733, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.750, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.766, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.783, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.800, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.816, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.833, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.850, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.866, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.883, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.899, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.917, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.933, Wheel, 20.0, 0.00, 0, 0
nszw26001_SIghml99oC,2026-01-27_23-04-26,2026-01-27_23-11-25,ItoE_name, 19.950, Wheel, 20.0, 0.00, 0, 0
