ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 23.432, Wheel, -185.0, 1.00, 2, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 23.631, Wheel, -170.6, 0.92, 1-2, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 24.364, Wheel, -145.2, 0.80, 1-2, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 24.947, Wheel, -125.5, 0.70, 1-2, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 24.997, Wheel, -130.7, 0.73, 1-2, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 25.031, Wheel, -137.2, 0.76, 1-2, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 25.114, Wheel, -156.8, 0.86, 1-2, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 41.930, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 41.997, Wheel, -604.1, 0.98, 3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 42.114, Wheel, -586.8, 0.96, 3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 43.780, Wheel, -551.0, 0.90, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 44.197, Wheel, -532.4, 0.87, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 44.230, Wheel, -528.3, 0.86, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 44.296, Wheel, -515.5, 0.84, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 44.714, Wheel, -474.1, 0.78, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 44.797, Wheel, -464.6, 0.76, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 45.297, Wheel, -432.4, 0.71, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 45.347, Wheel, -426.6, 0.70, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 46.163, Wheel, -391.2, 0.65, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 46.197, Wheel, -394.9, 0.65, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 46.213, Wheel, -398.5, 0.66, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 46.247, Wheel, -408.5, 0.67, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 46.596, Wheel, -464.1, 0.76, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 46.630, Wheel, -469.2, 0.77, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 46.663, Wheel, -477.1, 0.78, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 46.696, Wheel, -487.4, 0.80, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 47.097, Wheel, -545.9, 0.89, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 47.130, Wheel, -550.6, 0.90, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 47.163, Wheel, -558.3, 0.91, 2-3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 47.196, Wheel, -568.3, 0.93, 3-4, 0
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 78.313, Wheel, 20.0, 0.00, 0, 1
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 78.379, Wheel, 20.0, 0.00, 0, 1
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 78.446, Wheel, 20.0, 0.00, 0, 1
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 80.762, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 80.813, Wheel, 20.0, 0.00, 0-1, 1
nszw26001_Sm7ai0HddU,2026-01-27_20-02-33,2026-01-27_20-07-35,ItoI_name, 80.846, Wheel, 20.0, 0.00, 0-1, 1
