ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 0.494, Wheel, 20.0, 0.00, None, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 0.577, Wheel, 20.0, 0.00, None, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 5.193, Wheel, 20.0, 0.00, 0, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 5.327, Wheel, 20.0, 0.00, 0, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 5.693, Wheel, 20.0, 0.00, 0, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 6.627, Wheel, 20.0, 0.00, 0, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 6.693, Wheel, 20.0, 0.00, 0, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 52.992, Wheel, 20.0, 0.00, 0, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 57.291, Wheel, 20.0, 0.00, 0, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 57.342, Wheel, 20.0, 0.00, 0, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 57.441, Wheel, 20.0, 0.00, 0, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 63.158, Wheel, -185.0, 1.00, 2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 63.191, Wheel, -181.2, 0.98, 2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 63.258, Wheel, -168.7, 0.92, 1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 63.757, Wheel, -126.8, 0.71, 1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 63.774, Wheel, -124.6, 0.70, 1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 63.824, Wheel, -113.9, 0.65, 1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 63.891, Wheel, -97.0, 0.57, 0-1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 64.508, Wheel, -46.0, 0.32, 0-1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 64.591, Wheel, -37.4, 0.28, 0-1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 65.691, Wheel, -5.0, 0.12, 0-1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 65.741, Wheel, 0.4, 0.09, 0-1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 66.307, Wheel, 19.4, 0.00, 0-1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 66.341, Wheel, 15.7, 0.02, 0-1-2, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 84.373, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 84.523, Wheel, -598.7, 0.98, 3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 84.940, Wheel, -572.9, 0.93, 3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 85.456, Wheel, -551.8, 0.90, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 85.523, Wheel, -544.6, 0.89, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 85.690, Wheel, -522.7, 0.86, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 87.456, Wheel, -491.0, 0.80, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 87.639, Wheel, -477.2, 0.78, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 88.239, Wheel, -451.5, 0.74, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 88.273, Wheel, -447.6, 0.74, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 88.323, Wheel, -437.7, 0.72, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 88.840, Wheel, -392.9, 0.65, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 88.873, Wheel, -388.8, 0.64, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 88.907, Wheel, -381.6, 0.63, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 88.973, Wheel, -364.2, 0.60, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 89.590, Wheel, -312.0, 0.52, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 89.673, Wheel, -303.4, 0.51, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 92.758, Wheel, -271.0, 0.46, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 92.839, Wheel, -279.1, 0.47, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 92.889, Wheel, -287.8, 0.48, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 92.956, Wheel, -302.6, 0.51, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 93.340, Wheel, -346.7, 0.58, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 93.373, Wheel, -351.3, 0.58, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 93.406, Wheel, -358.8, 0.60, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 93.973, Wheel, -409.5, 0.68, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 94.006, Wheel, -413.6, 0.68, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 94.039, Wheel, -420.7, 0.69, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 94.089, Wheel, -434.3, 0.72, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 95.173, Wheel, -491.0, 0.80, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 95.223, Wheel, -496.4, 0.81, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 95.289, Wheel, -508.3, 0.83, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 95.889, Wheel, -550.0, 0.90, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 95.939, Wheel, -555.7, 0.91, 2-3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 95.972, Wheel, -562.4, 0.92, 3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 96.006, Wheel, -571.6, 0.93, 3-4, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 110.055, Wheel, -1081.0, 0.98, 5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 110.188, Wheel, -1069.6, 0.97, 5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 110.688, Wheel, -1042.2, 0.94, 5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 110.721, Wheel, -1038.1, 0.94, 5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 110.738, Wheel, -1034.4, 0.94, 5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 110.788, Wheel, -1019.9, 0.92, 5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 111.205, Wheel, -965.2, 0.88, 4-5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 111.221, Wheel, -962.8, 0.87, 4-5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 111.255, Wheel, -954.8, 0.87, 4-5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 111.372, Wheel, -926.7, 0.84, 4-5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 111.638, Wheel, -889.4, 0.81, 4-5-6, 0
nszw26001_TTTw7o3mRJ,2026-01-27_23-01-02,2026-01-27_23-09-51,ItoI_name, 111.671, Wheel, -884.0, 0.80, 4-5-6, 0
