ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 28.808, Wheel, -207.0, 1.00, 2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 28.890, Wheel, -197.6, 0.95, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 29.564, Wheel, -167.1, 0.82, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 29.612, Wheel, -172.5, 0.84, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 30.738, Drag, -183.2, 0.89, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 30.939, Drag, -149.1, 0.74, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 31.147, Drag, -132.4, 0.67, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 32.974, Drag, -107.5, 0.56, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 33.265, Drag, -108.0, 0.56, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 33.466, Drag, -134.5, 0.68, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 33.667, Drag, -162.6, 0.80, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 33.876, Drag, -183.7, 0.89, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 34.084, Drag, -200.5, 0.97, 1-2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 34.286, Drag, -207.0, 1.00, 2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 34.487, Drag, -207.0, 1.00, 2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 34.534, DragEnd, -207.0, 1.00, 2, 0
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 109.864, Wheel, -1771.0, 1.00, 8, 1
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 109.885, Wheel, -1769.0, 0.99, 8, 1
nszw26001_TogE9asSS2,2026-01-27_20-02-33,2026-01-27_20-07-07,ItoI_name, 109.954, Wheel, -1753.4, 0.99, 8, 1
