ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 67.246, Drag, -113.4, 0.65, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 67.464, Drag, -143.4, 0.79, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 67.666, Drag, -133.1, 0.74, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 68.063, Drag, -149.5, 0.82, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 68.463, Drag, -146.7, 0.81, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 68.664, Drag, -125.0, 0.70, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 68.866, Drag, -113.0, 0.64, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 69.265, Drag, -110.1, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 69.668, Drag, -110.2, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 70.064, Drag, -110.1, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 70.264, Drag, -110.2, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 70.467, Drag, -110.3, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 70.882, Drag, -110.2, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 71.082, Drag, -110.3, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 71.583, Drag, -110.1, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 71.984, Drag, -110.2, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 72.185, Drag, -110.2, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 73.117, Drag, -110.3, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 73.318, Drag, -110.3, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 74.986, Drag, -110.4, 0.63, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 75.387, Drag, -127.7, 0.72, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 75.787, Drag, -147.1, 0.81, 1-2, 0
nszw26001_UNVnl963dL,2026-01-27_20-02-38,2026-01-27_20-13-33,ItoE_noname, 75.892, DragEnd, -151.2, 0.83, 1-2, 0
