ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 42.330, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 42.864, Wheel, -569.6, 0.96, 3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 43.348, Wheel, -549.9, 0.93, 3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 43.398, Wheel, -544.2, 0.92, 3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 43.932, Wheel, -510.2, 0.87, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 43.965, Wheel, -506.1, 0.86, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 44.298, Wheel, -473.5, 0.81, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 44.332, Wheel, -468.8, 0.80, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 44.399, Wheel, -455.1, 0.78, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 44.732, Wheel, -414.6, 0.71, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 44.749, Wheel, -412.0, 0.70, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 45.199, Wheel, -371.5, 0.64, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 45.249, Wheel, -365.4, 0.63, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 45.950, Wheel, -329.4, 0.57, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 45.983, Wheel, -333.1, 0.57, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 46.017, Wheel, -339.9, 0.59, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 46.383, Wheel, -384.1, 0.66, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 46.400, Wheel, -386.6, 0.66, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 46.417, Wheel, -390.8, 0.67, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 46.783, Wheel, -441.9, 0.75, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 46.817, Wheel, -447.0, 0.76, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 46.834, Wheel, -451.2, 0.77, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 47.385, Wheel, -507.2, 0.86, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 47.884, Wheel, -528.0, 0.89, 2-3-4, 0
nszw26001_VDsFuRRo1m,2026-01-28_00-05-45,2026-01-28_00-15-41,ItoI_noname, 47.935, Wheel, -533.7, 0.90, 2-3-4, 0
