ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 5.831, Wheel, 20.0, 0.00, 0, 0
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 5.898, Wheel, 20.0, 0.00, 0, 0
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 7.666, Wheel, 20.0, 0.00, 0, 0
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 67.711, Wheel, -567.0, 1.00, 3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 67.744, Wheel, -563.2, 0.99, 3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 68.061, Wheel, -531.8, 0.94, 3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 68.110, Wheel, -525.1, 0.92, 3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 68.177, Wheel, -512.0, 0.90, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 68.411, Wheel, -477.3, 0.84, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 68.427, Wheel, -474.2, 0.84, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 68.460, Wheel, -465.2, 0.82, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 68.778, Wheel, -414.8, 0.74, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 68.828, Wheel, -407.3, 0.72, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 69.211, Wheel, -370.5, 0.66, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 69.245, Wheel, -366.0, 0.65, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 69.696, Wheel, -329.2, 0.59, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 69.712, Wheel, -331.0, 0.59, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 69.729, Wheel, -334.6, 0.60, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 69.746, Wheel, -339.8, 0.61, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 69.962, Wheel, -389.9, 0.69, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 69.979, Wheel, -393.6, 0.70, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 69.995, Wheel, -398.9, 0.71, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 70.012, Wheel, -405.7, 0.72, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 70.380, Wheel, -479.0, 0.85, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 70.413, Wheel, -484.3, 0.85, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 70.430, Wheel, -488.5, 0.86, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 70.446, Wheel, -494.4, 0.87, 2-3-4, 1
nszw26001_W2wFf7lFPo,2026-01-27_23-03-09,2026-01-27_23-06-39,ItoE_name, 89.716, Wheel, -1485.0, 1.00, 7-8, 1
