ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 41.300, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 41.406, Wheel, -577.6, 0.98, 3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 41.540, Wheel, -558.9, 0.95, 3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 41.900, Wheel, -530.7, 0.90, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 41.927, Wheel, -526.6, 0.89, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 41.954, Wheel, -519.4, 0.88, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 41.980, Wheel, -509.8, 0.87, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 42.034, Wheel, -488.9, 0.83, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 42.314, Wheel, -435.5, 0.74, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 42.327, Wheel, -432.9, 0.74, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 42.341, Wheel, -428.5, 0.73, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 42.394, Wheel, -408.0, 0.70, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 43.489, Wheel, -349.0, 0.60, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 50.588, Wheel, -369.0, 0.63, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 50.615, Wheel, -372.8, 0.64, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 50.628, Wheel, -376.4, 0.65, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 50.668, Wheel, -390.6, 0.67, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 51.122, Wheel, -447.3, 0.76, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 51.135, Wheel, -449.5, 0.77, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 51.189, Wheel, -463.1, 0.79, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 51.696, Wheel, -508.1, 0.86, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 51.722, Wheel, -512.1, 0.87, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 51.762, Wheel, -522.1, 0.89, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 51.789, Wheel, -531.0, 0.90, 2-3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 52.150, Wheel, -585.6, 0.99, 3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 52.176, Wheel, -586.2, 0.99, 3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 52.190, Wheel, -586.5, 0.99, 3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 52.216, Wheel, -587.0, 0.99, 3-4, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 1.235, Wheel, 20.0, 0.00, None, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 1.249, Wheel, 20.0, 0.00, None, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 1.275, Wheel, 20.0, 0.00, None, 0
nszw26001_W4sGYjaLcp,2026-01-27_23-04-32,2026-01-27_23-08-47,ItoE_noname, 1.302, Wheel, 20.0, 0.00, None, 0
