ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 11.759, Wheel, 20.0, 0.00, 0, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 14.323, Wheel, 20.0, 0.00, 0, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 41.525, Drag, -90.7, 0.54, 0-1-2, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 41.739, Drag, -73.2, 0.45, 0-1-2, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 43.490, Drag, -68.3, 0.43, 0-1-2, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 43.707, Drag, -70.7, 0.44, 0-1-2, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 44.240, Drag, -72.2, 0.45, 0-1-2, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 44.456, Drag, -77.1, 0.47, 0-1-2, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 44.673, Drag, -87.8, 0.52, 0-1-2, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 44.890, Drag, -98.6, 0.57, 0-1-2, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 45.282, DragEnd, -103.4, 0.60, 1-2, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 66.256, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 66.706, Wheel, -592.1, 0.97, 3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 67.124, Wheel, -572.5, 0.93, 3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 67.156, Wheel, -568.4, 0.93, 3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 67.224, Wheel, -555.5, 0.91, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 67.290, Wheel, -540.2, 0.88, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 67.623, Wheel, -496.9, 0.81, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 67.657, Wheel, -492.0, 0.81, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 67.706, Wheel, -480.9, 0.79, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 67.740, Wheel, -471.4, 0.77, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 68.157, Wheel, -415.3, 0.68, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 68.190, Wheel, -410.7, 0.68, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 68.257, Wheel, -397.0, 0.66, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 68.407, Wheel, -368.8, 0.61, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 70.940, Wheel, -331.0, 0.55, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 70.973, Wheel, -334.8, 0.56, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 71.023, Wheel, -344.6, 0.57, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 71.073, Wheel, -357.1, 0.59, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 71.173, Wheel, -382.3, 0.63, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 71.890, Wheel, -430.4, 0.71, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 71.923, Wheel, -434.3, 0.72, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 71.957, Wheel, -441.3, 0.73, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 72.023, Wheel, -458.4, 0.75, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 72.556, Wheel, -509.1, 0.83, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 72.590, Wheel, -513.3, 0.84, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 72.623, Wheel, -520.4, 0.85, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 72.706, Wheel, -541.1, 0.88, 2-3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 73.040, Wheel, -584.9, 0.95, 3-4, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 83.756, Wheel, -1081.0, 1.00, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 85.007, Wheel, -1081.0, 1.00, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 85.140, Wheel, -1081.0, 1.00, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 89.873, Wheel, -1081.0, 1.00, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 92.573, Wheel, -1081.0, 1.00, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 92.606, Wheel, -1077.2, 0.99, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 92.673, Wheel, -1064.7, 0.98, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 92.740, Wheel, -1049.7, 0.97, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 92.990, Wheel, -1011.0, 0.93, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.006, Wheel, -1008.0, 0.93, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.039, Wheel, -999.0, 0.92, 5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.056, Wheel, -993.2, 0.92, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.106, Wheel, -973.6, 0.90, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.373, Wheel, -914.4, 0.84, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.391, Wheel, -911.1, 0.84, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.423, Wheel, -901.5, 0.83, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.456, Wheel, -890.0, 0.82, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.490, Wheel, -876.9, 0.81, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.823, Wheel, -810.2, 0.75, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.857, Wheel, -804.6, 0.74, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 93.923, Wheel, -789.6, 0.73, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 94.990, Wheel, -741.0, 0.69, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.023, Wheel, -744.8, 0.69, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.057, Wheel, -751.6, 0.70, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.073, Wheel, -756.6, 0.70, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.107, Wheel, -768.8, 0.71, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.123, Wheel, -776.0, 0.72, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.190, Wheel, -805.2, 0.74, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.457, Wheel, -866.9, 0.80, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.473, Wheel, -870.3, 0.80, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.490, Wheel, -875.4, 0.81, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.507, Wheel, -881.9, 0.81, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.523, Wheel, -889.8, 0.82, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.540, Wheel, -899.0, 0.83, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.923, Wheel, -991.9, 0.91, 4-5-6, 0
nszw26001_WYVBVLwE82,2026-01-27_20-02-42,2026-01-27_20-10-57,ItoI_name, 95.939, Wheel, -994.8, 0.92, 4-5-6, 0
