ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 21.806, Wheel, 20.0, 0.00, 0, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 110.660, Wheel, -611.0, 0.97, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 111.412, Wheel, -629.0, 1.00, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 111.675, Wheel, -629.0, 1.00, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 111.784, Wheel, -617.6, 0.98, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 112.409, Wheel, -589.2, 0.93, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 112.439, Wheel, -585.4, 0.93, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 112.463, Wheel, -578.4, 0.92, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 112.510, Wheel, -561.4, 0.89, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 112.925, Wheel, -511.4, 0.81, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 112.949, Wheel, -507.2, 0.81, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 112.968, Wheel, -503.3, 0.80, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 112.992, Wheel, -493.0, 0.79, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.023, Wheel, -480.8, 0.77, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.077, Wheel, -456.1, 0.73, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.400, Wheel, -394.3, 0.63, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.423, Wheel, -395.8, 0.64, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.448, Wheel, -402.1, 0.65, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.481, Wheel, -411.0, 0.66, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.761, Wheel, -461.1, 0.74, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.785, Wheel, -466.4, 0.74, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.809, Wheel, -474.5, 0.76, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.831, Wheel, -479.9, 0.77, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 113.869, Wheel, -493.0, 0.79, 2-3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 114.140, Wheel, -560.6, 0.89, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 114.164, Wheel, -563.5, 0.89, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 114.194, Wheel, -575.8, 0.91, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 114.551, Wheel, -625.5, 0.99, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 114.587, Wheel, -626.2, 0.99, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 114.968, Wheel, -628.8, 0.99, 3-4, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 120.681, Wheel, -1081.0, 1.00, 5-6, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 164.301, Wheel, -1573.0, 1.00, 7-8, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 166.089, Wheel, -1573.0, 1.00, 7-8, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 166.605, Wheel, -1573.0, 1.00, 7-8, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 166.932, Wheel, -1554.5, 0.98, 7-8, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 168.071, Wheel, -1573.0, 1.00, 7-8, 0
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 191.346, Wheel, 20.0, 0.00, 0, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 296.329, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 309.673, Wheel, -1617.0, 1.00, 7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 310.290, Wheel, -1597.1, 0.98, 7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 310.906, Wheel, -1577.1, 0.97, 7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 310.955, Wheel, -1570.2, 0.97, 7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.016, Wheel, -1558.8, 0.96, 7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.294, Wheel, -1521.1, 0.94, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.306, Wheel, -1518.7, 0.93, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.324, Wheel, -1514.5, 0.93, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.342, Wheel, -1503.6, 0.93, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.366, Wheel, -1496.9, 0.92, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.385, Wheel, -1481.7, 0.91, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.416, Wheel, -1465.6, 0.90, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.477, Wheel, -1435.1, 0.88, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.726, Wheel, -1367.5, 0.84, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.745, Wheel, -1364.5, 0.84, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.763, Wheel, -1355.4, 0.84, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.780, Wheel, -1349.6, 0.83, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 311.843, Wheel, -1319.8, 0.81, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 312.114, Wheel, -1264.6, 0.78, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 312.138, Wheel, -1259.3, 0.78, 6-7-8, 1
nszw26001_WpCWQxazcF,2026-01-27_20-02-35,2026-01-27_20-21-01,ItoI_name, 312.162, Wheel, -1251.3, 0.77, 6-7-8, 1
