ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 0.714, Wheel, 20.0, 0.00, None, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 0.764, Wheel, 20.0, 0.00, None, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 3.498, Wheel, 20.0, 0.00, 0, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 3.532, Wheel, 20.0, 0.00, 0, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 3.565, Wheel, 20.0, 0.00, 0, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 3.598, Wheel, 20.0, 0.00, 0, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 3.647, Wheel, 20.0, 0.00, 0, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 9.814, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 9.830, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 9.863, Wheel, 20.0, 0.00, 0-1, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 24.798, Wheel, -589.0, 1.00, 3-4, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 24.814, Wheel, -587.0, 0.99, 3-4, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 24.848, Wheel, -579.7, 0.98, 3-4, 0
nszw26001_XD6RrjuVvz,2026-01-27_23-16-30,2026-01-27_23-20-27,ItoI_noname, 25.348, Wheel, -531.1, 0.90, 2-3-4, 0
