ユーザーID,開始日時,終了日時,条件,経過時間(秒),イベントタイプ,Y座標,スクロール率,表示メッセージID,シナリオID
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 24.924, Wheel, -185.0, 1.00, 2, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 25.457, Wheel, -165.6, 0.90, 1-2, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 25.523, Wheel, -158.5, 0.87, 1-2, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 28.473, Wheel, -125.0, 0.70, 1-2, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 28.490, Wheel, -127.0, 0.71, 1-2, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 28.540, Wheel, -137.2, 0.76, 1-2, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 39.423, Wheel, -611.0, 1.00, 3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 39.440, Wheel, -609.0, 0.99, 3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 39.473, Wheel, -601.7, 0.98, 3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 39.940, Wheel, -553.6, 0.90, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 39.956, Wheel, -551.3, 0.90, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 39.990, Wheel, -543.7, 0.89, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 40.023, Wheel, -533.7, 0.87, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 40.490, Wheel, -474.2, 0.78, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 40.506, Wheel, -471.9, 0.77, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 40.540, Wheel, -464.1, 0.76, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 40.590, Wheel, -449.7, 0.74, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 41.923, Wheel, -391.0, 0.65, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 41.940, Wheel, -393.0, 0.65, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 41.956, Wheel, -396.8, 0.66, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 41.973, Wheel, -402.2, 0.66, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 42.006, Wheel, -415.2, 0.68, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 42.673, Wheel, -489.8, 0.80, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 42.689, Wheel, -491.9, 0.81, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 42.706, Wheel, -495.8, 0.81, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 42.723, Wheel, -501.4, 0.82, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 42.740, Wheel, -508.3, 0.83, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 42.773, Wheel, -524.0, 0.86, 2-3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 43.139, Wheel, -602.4, 0.98, 3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 43.156, Wheel, -603.2, 0.98, 3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 43.173, Wheel, -604.0, 0.98, 3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 43.189, Wheel, -604.7, 0.99, 3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 43.206, Wheel, -605.3, 0.99, 3-4, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 71.538, Wheel, -1081.0, 0.98, 5-6, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 71.555, Wheel, -1082.8, 0.98, 5-6, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 71.572, Wheel, -1084.4, 0.98, 5-6, 0
nszw26001_XFGAvj34Yf,2026-01-27_23-01-06,2026-01-27_23-08-33,ItoE_name, 71.588, Wheel, -1085.8, 0.98, 5-6, 0
